"Player","Season","Age","Min","Gls","Ast","CrdY","CrdR","G+A","SoT","Cmp","Cmp%","KP","Prog","SCA","GCA","Tkl+Int","Clr","PPM","Team","League","Nationality","Position","player_foot","market_value","race"
"Aaron Connolly","2020-2021",20,791,2,1,0,0,34,8,790,782,50,30,120,10,70,10,88,"Brighton","England","Ireland","Forward","right",7e+08,0
"Aaron Connolly","2019-2020",19,1258,3,1,0,0,29,13,1260,773,60,100,250,50,170,10,113,"Brighton","England","Ireland","Forward","right",4e+08,0
"Aaron Cresswell","2020-2021",30,3170,0,8,3,0,23,4,15410,748,600,1200,960,140,670,980,181,"West Ham","England","England","Defender","left",5e+08,0
"Aaron Cresswell","2019-2020",29,2727,3,0,7,0,1,5,12410,738,230,1230,460,20,630,920,97,"West Ham","England","England","Defender","left",6500000,0
"Aaron Cresswell","2017-2018",27,3069,1,3,7,0,12,6,12240,717,350,960,620,90,900,1330,114,"West Ham","England","England","Defender","left",1.2e+07,0
"Aaron Cresswell","2018-2019",28,1589,0,1,1,0,6,0,8420,787,160,650,290,20,490,600,13,"West Ham","England","England","Defender","left",1e+09,0
"Aaron Hickey","2020-2021",18,758,0,0,3,1,0,1,3390,839,40,240,70,10,250,150,127,"Bologna","Italy","Scotland","Defender","both",5e+08,0
"Aaron Hunt","2017-2018",30,2081,3,2,1,0,22,6,8830,718,650,970,1020,60,440,210,107,"Hamburger SV","Germany","Germany","Midfielder","left",1500000,0
"Aaron Lennon","2017-2018",30,1118,0,2,2,0,16,4,2040,694,80,220,180,30,310,90,143,"Burnley","England","England","Midfielder","right",5e+08,1
"Aaron Lennon","2017-2018",30,1118,0,2,2,0,16,4,2040,694,80,220,180,30,310,90,143,"Burnley","England","England","Midfielder","right",5e+08,1
"Aaron Lennon","2017-2018",30,793,0,0,0,0,0,1,1520,710,50,170,160,40,250,90,127,"Everton","England","England","Forward","right",5e+08,1
"Aaron Lennon","2017-2018",30,793,0,0,0,0,0,1,1520,710,50,170,160,40,250,90,127,"Everton","England","England","Forward","right",5e+08,1
"Aaron Lennon","2018-2019",31,1215,1,1,1,0,15,2,2330,747,70,200,180,10,410,90,75,"Burnley","England","England","Midfielder","right",5e+08,1
"Aaron Lennon","2019-2020",32,496,0,0,4,0,0,0,920,702,20,80,70,10,230,60,131,"Burnley","England","England","Midfielder","right",2400000,1
"Aaron Leya Iseka","2018-2019",20,1444,4,0,2,1,25,12,2130,798,110,150,240,20,40,100,104,"Toulouse","France","Belgium","Forward","right",3e+08,1
"Aaron Leya Iseka","2019-2020",21,777,2,0,2,0,23,8,1420,776,40,100,200,10,70,70,27,"Toulouse","France","Belgium","Forward","right",2e+08,1
"Aaron Leya Iseka","2020-2021",22,1008,4,0,4,0,36,6,1510,759,120,90,210,10,110,40,114,"Metz","France","Belgium","Forward","right",2500000,1
"Aarón Martín","2020-2021",23,262,0,0,0,0,0,1,6910,802,70,450,130,30,50,10,4,"Mainz 05","Germany","Spain","Defender","left",4500000,0
"Aarón Martín","2020-2021",23,1540,0,3,1,0,18,0,1220,722,50,60,50,0,520,500,153,"Celta Vigo","Spain","Spain","Defender","left",4500000,0
"Aarón Martín","2018-2019",21,2878,0,3,3,0,9,4,12980,745,600,1040,950,90,760,650,13,"Mainz 05","Germany","Spain","Defender","left",2e+09,0
"Aarón Martín","2018-2019",21,2878,0,3,3,0,9,4,12980,745,600,1040,950,90,760,650,13,"Mainz 05","Germany","Spain","Defender","left",2e+09,0
"Aarón Martín","2019-2020",22,1792,0,0,2,0,0,3,6620,726,310,540,490,20,350,430,10,"Mainz 05","Germany","Spain","Defender","left",10500000,0
"Aarón Martín","2017-2018",20,2816,0,0,6,0,0,2,10100,738,330,840,540,30,730,330,131,"Espanyol","Spain","Spain","Defender","left",1.2e+07,0
"Aaron Mooy","2019-2020",28,2085,2,2,3,1,17,8,8250,767,390,960,700,70,610,290,103,"Brighton","England","Australia","Midfielder","right",9500000,0
"Aaron Mooy","2018-2019",27,2330,3,1,4,0,15,13,10720,754,410,1180,760,20,930,280,52,"Huddersfield","England","Australia","Midfielder","right",1.4e+07,0
"Aaron Mooy","2017-2018",26,3067,4,3,4,0,21,6,15610,755,480,1630,730,50,1510,700,94,"Huddersfield","England","Australia","Midfielder","right",1e+09,0
"Aaron Ramsey","2017-2018",26,1846,7,8,0,0,73,25,10500,839,280,1200,570,130,610,110,183,"Arsenal","England","Wales","Midfielder","both",4.5e+07,0
"Aaron Ramsey","2019-2020",28,1051,3,1,2,0,34,9,6490,870,180,350,440,40,370,70,225,"Juventus","Italy","Wales","Midfielder","both",2.8e+07,0
"Aaron Ramsey","2020-2021",29,1089,2,4,2,0,5,10,6260,855,300,590,580,70,300,90,218,"Juventus","Italy","Wales","Midfielder","both",1.4e+07,0
"Aaron Ramsey","2018-2019",27,1331,4,6,0,0,68,13,6500,824,250,630,450,100,470,30,193,"Arsenal","England","Wales","Midfielder","both",4e+09,0
"Aaron Wan-Bissaka","2018-2019",20,3134,0,3,4,1,9,0,11470,755,140,1190,400,70,2290,1680,131,"Crystal Palace","England","England","Defender","right",3.5e+07,1
"Aaron Wan-Bissaka","2019-2020",21,3070,0,4,8,0,12,1,16760,812,260,1430,470,60,1870,1080,177,"Manchester Utd","England","England","Defender","right",3.2e+07,1
"Aaron Wan-Bissaka","2017-2018",19,627,0,0,1,0,0,0,2010,703,30,220,70,0,440,400,10,"Crystal Palace","England","England","Defender","right",1e+08,1
"Aaron Wan-Bissaka","2020-2021",22,3060,2,4,3,0,18,4,17750,860,300,1250,570,80,1630,1080,206,"Manchester Utd","England","England","Defender","right",4e+09,1
"Abdallahi Mahmoud","2019-2020",19,152,0,0,1,0,0,0,330,868,0,10,0,0,90,30,0,"Alavés","Spain","Mauritania","Midfielder","right",1e+07,1
"Abdelhamid Sabiri","2019-2020",22,1048,4,1,6,0,43,14,3510,796,70,360,260,30,300,190,67,"Paderborn 07","Germany","Germany","Midfielder","right",1700000,0
"Abdelhamid Sabiri","2017-2018",20,220,0,1,1,0,41,0,680,708,30,50,60,10,50,40,4,"Huddersfield","England","Germany","Midfielder","right",1e+08,0
"Abdelhamid Sabiri","2018-2019",21,48,0,0,0,0,0,0,80,889,0,0,0,0,30,0,0,"Huddersfield","England","Germany","Forward","right",1500000,0
"Abdón Prats","2019-2020",26,279,0,0,1,0,0,4,460,630,20,50,20,0,20,0,35,"Mallorca","Spain","Spain","Forward","left",650000,0
"Abdou Diallo","2017-2018",21,2415,2,1,5,0,11,3,9050,754,60,1090,260,40,880,1070,115,"Mainz 05","Germany","Senegal","Defender","left",1.2e+07,1
"Abdou Diallo","2018-2019",22,2379,1,1,1,1,8,3,17270,884,110,1160,150,20,630,1020,207,"Dortmund","Germany","Senegal","Defender","left",3.5e+07,1
"Abdou Diallo","2019-2020",23,1201,0,1,4,0,7,2,9860,929,30,720,100,10,250,400,244,"Paris S-G","France","Senegal","Defender","left",2.8e+07,1
"Abdou Diallo","2020-2021",24,1490,0,1,3,2,6,0,11090,931,10,750,60,10,400,460,223,"Paris S-G","France","Senegal","Defender","left",2.5e+07,1
"Abdoul Camara","2017-2018",27,975,2,1,0,0,28,6,2230,712,90,200,200,10,160,10,107,"Guingamp","France","Guinea","Forward","left",1e+08,1
"Abdoul Kader Bamba","2019-2020",25,1468,1,3,5,0,25,9,5710,792,380,660,710,60,480,50,137,"Nantes","France","France","Forward","right",1600000,1
"Abdoul Kader Bamba","2020-2021",26,917,3,1,2,0,39,6,3710,751,230,340,420,30,260,30,9,"Nantes","France","France","Forward","right",2e+08,1
"Abdoulaye Ba","2018-2019",27,2110,1,0,4,2,4,4,8560,825,10,280,60,0,740,1800,10,"Rayo Vallecano","Spain","Senegal","Defender","right",2500000,1
"Abdoulaye Bamba","2018-2019",28,2573,0,4,6,0,14,0,9760,765,170,830,330,60,780,790,133,"Angers","France","C<f4>te d'Ivoire","Defender","right",3e+08,1
"Abdoulaye Bamba","2019-2020",29,554,0,0,2,0,0,0,2070,742,30,130,30,0,150,140,214,"Angers","France","C<f4>te d'Ivoire","Defender","right",2e+08,1
"Abdoulaye Bamba","2017-2018",27,1533,0,0,2,0,0,1,6210,767,60,510,160,20,300,300,78,"Angers","France","C<f4>te d'Ivoire","Defender","right",1e+08,1
"Abdoulaye Bamba","2020-2021",30,1347,0,0,2,0,0,1,6700,766,120,540,210,0,490,420,125,"Angers","France","C<f4>te d'Ivoire","Defender","right",1200000,1
"Abdoulaye Dabo","2018-2019",17,116,0,0,0,0,0,0,260,813,30,50,50,0,20,0,5,"Nantes","France","France","Forward","left",1e+08,1
"Abdoulaye Doucouré","2018-2019",25,3062,5,6,7,0,32,16,16430,835,360,1550,730,90,1190,500,137,"Watford","England","France","Midfielder","right",2.5e+07,1
"Abdoulaye Doucouré","2019-2020",26,3156,4,2,9,0,17,12,13020,785,330,1100,840,60,940,460,89,"Watford","England","France","Midfielder","right",2e+09,1
"Abdoulaye Doucouré","2017-2018",24,3324,7,3,10,0,27,17,18940,838,390,1660,810,40,1580,810,111,"Watford","England","France","Midfielder","right",1.5e+07,1
"Abdoulaye Doucouré","2020-2021",27,2443,2,3,6,0,18,5,11460,860,180,650,410,50,910,290,169,"Everton","England","France","Midfielder","right",2.5e+07,1
"Abdoulaye Touré","2018-2019",24,2749,3,1,4,1,13,14,11260,802,220,1300,640,60,860,420,135,"Nantes","France","France","Midfielder","right",1e+09,1
"Abdoulaye Touré","2020-2021",26,1681,2,2,2,0,21,4,7990,851,160,710,390,40,460,260,83,"Nantes","France","France","Midfielder","right",4e+08,1
"Abdoulaye Touré","2017-2018",23,2809,1,1,3,0,6,13,10700,783,180,1400,770,60,1440,410,144,"Nantes","France","France","Midfielder","right",8e+08,1
"Abdoulaye Touré","2019-2020",25,2221,3,0,3,0,12,8,11350,848,170,970,420,10,550,320,137,"Nantes","France","France","Midfielder","right",8e+08,1
"Abdoulaye Touré","2019-2020",25,2221,3,0,3,0,12,8,11350,848,170,970,420,10,550,320,137,"Nantes","France","France","Midfielder","right",150000,1
"Abel Ruiz","2018-2019",18,22,0,0,0,0,0,1,90,750,10,0,10,0,10,10,30,"Barcelona","Spain","Spain","Forward","right",3e+08,0
"Ablie Jallow","2017-2018",18,129,0,0,0,0,0,0,340,773,10,30,40,0,20,0,0,"Metz","France","Gambia","Midfielder","left",7e+07,1
"Abou Ouattara","2019-2020",19,9,0,0,0,0,0,0,20,667,0,0,0,0,0,10,30,"Lille","France","Burkina Faso","Midfielder","right",1e+07,1
"Aboubakar Kamara","2018-2019",23,693,3,0,2,0,39,8,1700,694,100,130,230,20,140,60,69,"Fulham","England","Mauritania","Forward","right",2750000,1
"Aboubakar Kamara","2020-2021",25,557,1,0,1,1,16,2,920,719,60,110,100,0,40,30,6,"Dijon","France","Mauritania","Forward","right",2e+08,1
"Aboubakar Kamara","2020-2021",25,315,0,0,1,1,0,3,1130,748,80,90,180,10,40,20,27,"Fulham","England","Mauritania","Forward","right",2e+08,1
"Achraf Hakimi","2020-2021",21,2665,7,8,6,0,51,15,12790,825,360,1240,750,180,760,280,238,"Inter","Italy","Morocco","Defender","right",6e+09,1
"Achraf Hakimi","2018-2019",19,1740,2,4,4,0,31,5,13610,861,100,1180,400,90,480,400,257,"Dortmund","Germany","Morocco","Defender","right",3e+09,1
"Achraf Hakimi","2019-2020",20,2715,5,10,5,0,5,20,20420,843,350,1960,810,180,810,310,20,"Dortmund","Germany","Morocco","Defender","right",5.4e+07,1
"Achraf Hakimi","2017-2018",18,758,2,1,0,0,36,4,3940,821,50,270,110,10,300,90,211,"Real Madrid","Spain","Morocco","Defender","right",5e+08,1
"Achraf Lazaar","2017-2018",25,478,1,0,0,0,19,4,1200,694,30,30,70,0,160,100,0,"Benevento","Italy","Morocco","Midfielder","left",1e+08,0
"Achraf Lazaar","2017-2018",25,478,1,0,0,0,19,4,1200,694,30,30,70,0,160,100,0,"Benevento","Italy","Morocco","Midfielder","left",1e+08,0
"Adalberto Peñaranda","2017-2018",20,798,0,0,3,0,0,7,1870,770,70,130,250,0,100,20,77,"Málaga","Spain","Venezuela","Forward","right",2e+08,1
"Adam Bodzek","2019-2020",33,2015,0,0,10,0,0,4,5840,824,60,560,170,10,610,470,89,"Düsseldorf","Germany","Germany","Midfielder","right",325000,0
"Adam Bodzek","2018-2019",32,1596,0,1,5,1,6,1,5860,859,90,450,220,20,560,480,148,"Düsseldorf","Germany","Germany","Midfielder","right",4e+07,0
"Adam Idah","2019-2020",18,228,0,0,0,0,0,2,370,771,10,30,10,0,40,10,8,"Norwich City","England","Ireland","Forward","right",9e+07,1
"Adam Lallana","2017-2018",29,308,0,0,1,0,0,0,1920,861,70,270,150,0,90,30,233,"Liverpool","England","England","Midfielder","both",2.5e+07,0
"Adam Lallana","2019-2020",31,382,1,1,1,0,47,1,2290,848,50,180,90,10,260,30,267,"Liverpool","England","England","Midfielder","both",9500000,0
"Adam Lallana","2020-2021",32,1596,1,1,0,0,11,4,7930,847,270,830,480,40,480,140,113,"Brighton","England","England","Midfielder","both",4e+08,0
"Adam Lallana","2018-2019",30,468,0,0,1,0,0,2,2550,836,90,320,200,20,210,40,254,"Liverpool","England","England","Midfielder","both",1.5e+07,0
"Ádám Lang","2017-2018",24,233,0,0,1,2,0,0,1000,855,0,70,0,0,60,90,10,"Dijon","France","Hungary","Defender","right",1250000,0
"Adam Masina","2018-2019",24,1004,0,1,5,0,9,0,4350,787,30,380,60,0,400,420,121,"Watford","England","Morocco","Defender","left",7e+08,0
"Adam Masina","2017-2018",23,2830,0,1,8,1,3,3,12860,767,240,1610,490,50,1300,1010,97,"Bologna","Italy","Morocco","Defender","left",7e+08,0
"Adam Masina","2019-2020",25,1821,1,0,3,0,5,3,5820,623,130,600,200,10,620,990,10,"Watford","England","Morocco","Defender","left",5500000,0
"Ádám Nagy","2018-2019",23,975,0,0,3,1,0,2,4480,860,90,470,140,0,440,180,64,"Bologna","Italy","Hungary","Midfielder","right",2e+08,0
"Ádám Nagy","2017-2018",22,711,1,0,1,0,13,1,2010,838,50,120,80,0,210,30,83,"Bologna","Italy","Hungary","Midfielder","right",2800000,0
"Adam Ounas","2018-2019",21,538,3,0,0,0,5,8,2320,797,180,280,390,30,150,0,206,"Napoli","Italy","Algeria","Forward","left",1e+09,1
"Adam Ounas","2019-2020",22,1123,2,4,2,1,48,9,3740,757,210,460,450,50,170,80,169,"Nice","France","Algeria","Midfielder","left",8e+08,1
"Adam Ounas","2020-2021",23,308,0,0,0,0,0,10,3890,787,220,610,440,70,80,20,143,"Cagliari","Italy","Algeria","Midfielder","left",8e+08,1
"Adam Ounas","2017-2018",20,96,0,0,0,0,0,1,420,764,50,30,90,20,40,20,143,"Napoli","Italy","Algeria","Forward","left",4500000,1
"Adam Ounas","2020-2021",23,1199,4,4,1,0,6,0,830,686,60,150,130,20,160,30,73,"Crotone","Italy","Algeria","Forward","left",8e+08,1
"Adam Smith","2018-2019",27,2066,1,1,5,1,9,1,8640,806,100,810,350,30,750,700,144,"Bournemouth","England","England","Defender","right",7e+08,0
"Adam Smith","2017-2018",26,2071,1,3,6,0,17,3,8940,802,190,660,390,70,1130,550,107,"Bournemouth","England","England","Defender","right",5e+08,0
"Adam Smith","2019-2020",28,2055,0,1,7,0,4,1,8450,796,100,680,190,10,750,530,83,"Bournemouth","England","England","Defender","right",7e+08,0
"Ádám Szalai","2017-2018",29,896,5,1,2,0,6,11,1650,740,100,70,180,0,90,50,144,"Hoffenheim","Germany","Hungary","Forward","right",3e+08,0
"Ádám Szalai","2020-2021",32,733,1,0,1,0,12,6,1130,538,50,160,120,0,100,20,144,"Mainz 05","Germany","Hungary","Forward","right",4e+07,0
"Ádám Szalai","2018-2019",30,1627,6,3,3,0,5,19,2980,725,230,290,590,70,190,120,137,"Hoffenheim","Germany","Hungary","Forward","right",3e+08,0
"Ádám Szalai","2019-2020",31,1147,1,1,1,0,16,11,1980,643,140,170,320,50,110,140,122,"Mainz 05","Germany","Hungary","Forward","right",1600000,0
"Ádám Szalai","2019-2020",31,1147,1,1,1,0,16,11,1980,643,140,170,320,50,110,140,122,"Mainz 05","Germany","Hungary","Forward","right",1600000,0
"Adam Webster","2019-2020",24,2668,3,1,4,0,13,7,15470,848,100,940,220,10,710,1820,106,"Brighton","England","England","Defender","right",1.2e+07,0
"Adam Webster","2020-2021",25,2594,1,0,4,0,3,6,14840,827,60,1100,200,10,700,1230,114,"Brighton","England","England","Defender","right",1.8e+07,0
"Adama Diakhaby","2018-2019",22,552,0,0,1,0,0,3,1200,714,50,100,100,0,80,0,25,"Huddersfield","England","France","Forward","left",8e+08,1
"Adama Diakhaby","2017-2018",21,851,2,2,2,1,42,4,1400,654,70,90,140,50,350,30,20,"Monaco","France","France","Forward","left",5e+08,1
"Adama Mbengue","2018-2019",24,739,0,0,3,0,0,0,2300,632,20,270,120,10,490,280,55,"Caen","France","Senegal","Defender","left",2e+08,1
"Adama Mbengue","2017-2018",23,1596,0,0,2,1,0,1,5080,619,110,670,320,0,840,360,132,"Caen","France","Senegal","Defender","left",3e+08,1
"Adama Niane","2017-2018",24,2166,8,2,6,0,42,23,3520,653,160,190,440,50,250,110,91,"Troyes","France","Mali","Forward","right",3e+08,1
"Adama Soumaoro","2017-2018",25,1192,0,0,2,0,0,0,5110,908,10,240,20,0,270,430,107,"Lille","France","France","Defender","right",3e+08,1
"Adama Soumaoro","2019-2020",27,415,1,0,0,0,22,2,2950,931,0,40,10,0,90,450,167,"Lille","France","France","Defender","right",8e+08,1
"Adama Soumaoro","2018-2019",26,1723,0,1,6,1,5,0,8620,931,20,190,50,10,290,790,21,"Lille","France","France","Defender","right",1e+09,1
"Adama Soumaoro","2020-2021",28,1755,1,0,4,0,5,2,8190,916,20,350,90,0,600,1020,105,"Bologna","Italy","France","Defender","right",4e+08,1
"Adama Soumaoro","2019-2020",27,415,1,0,0,0,22,2,2950,931,0,40,10,0,90,450,167,"Lille","France","France","Defender","right",8e+08,1
"Adama Soumaoro","2020-2021",28,145,0,0,1,0,0,0,1160,959,0,10,10,0,40,40,233,"Lille","France","France","Defender","right",4e+08,1
"Adama Soumaoro","2019-2020",27,637,1,0,2,0,14,1,3280,965,0,40,10,10,60,240,138,"Genoa","Italy","France","Defender","right",8e+08,1
"Adama Soumaoro","2019-2020",27,637,1,0,2,0,14,1,3280,965,0,40,10,10,60,240,138,"Genoa","Italy","France","Defender","right",8e+08,1
"Adama Traoré","2019-2020",24,25,0,0,0,0,0,0,100,833,0,0,0,0,0,0,5,"Monaco","France","Mali","Midfielder","right",25500000,1
"Adama Traoré","2018-2019",22,902,1,1,1,0,2,7,2370,716,160,260,120,10,230,70,121,"Wolves","England","Spain","Forward","left",2200000,1
"Adama Traoré","2019-2020",24,25,0,0,0,0,0,0,100,833,0,0,0,0,0,0,5,"Monaco","France","Mali","Midfielder","left",2400000,1
"Adama Traoré","2018-2019",23,240,0,1,0,0,37,1,880,800,60,100,430,30,40,10,5,"Monaco","France","Mali","Midfielder","right",1.5e+07,1
"Adama Traoré","2018-2019",23,240,0,1,0,0,37,1,880,800,60,100,430,30,40,10,5,"Monaco","France","Mali","Midfielder","left",2200000,1
"Adama Traoré","2018-2019",22,902,1,1,1,0,2,7,2370,716,160,260,120,10,230,70,121,"Wolves","England","Spain","Forward","right",1.5e+07,1
"Adama Traoré","2020-2021",24,2649,2,2,4,0,14,13,5790,659,560,630,1130,60,430,160,122,"Wolves","England","Spain","Forward","right",3e+09,1
"Adama Traoré","2019-2020",24,25,0,0,0,0,0,0,100,833,0,0,0,0,0,0,5,"Monaco","France","Mali","Midfielder","left",3e+07,1
"Adama Traoré","2019-2020",23,2605,4,9,1,0,45,12,3990,809,340,470,560,40,70,70,157,"Wolves","England","Spain","Forward","left",2400000,1
"Adama Traoré","2019-2020",23,2605,4,9,1,0,45,12,3990,809,340,470,560,40,70,70,157,"Wolves","England","Spain","Forward","right",25500000,1
"Adama Traoré","2019-2020",24,25,0,0,0,0,0,0,100,833,0,0,0,0,0,0,5,"Monaco","France","Mali","Midfielder","left",2400000,1
"Adama Traoré","2017-2018",22,189,3,0,1,0,143,4,630,829,10,40,60,0,50,10,20,"Monaco","France","Mali","Midfielder","left",7e+08,1
"Adama Traoré","2019-2020",24,1007,1,4,1,0,45,4,6210,659,500,640,990,150,490,240,12,"Metz","France","Mali","Forward","left",3e+07,1
"Adama Traoré","2019-2020",24,1007,1,4,1,0,45,4,6210,659,500,640,990,150,490,240,12,"Metz","France","Mali","Forward","left",2400000,1
"Adama Traoré","2019-2020",23,2605,4,9,1,0,45,12,3990,809,340,470,560,40,70,70,157,"Wolves","England","Spain","Forward","left",2400000,1
"Adama Traoré","2019-2020",23,2605,4,9,1,0,45,12,3990,809,340,470,560,40,70,70,157,"Wolves","England","Spain","Forward","left",3e+07,1
"Adama Traoré","2019-2020",24,1007,1,4,1,0,45,4,6210,659,500,640,990,150,490,240,12,"Metz","France","Mali","Forward","left",2400000,1
"Adama Traoré","2019-2020",24,1007,1,4,1,0,45,4,6210,659,500,640,990,150,490,240,12,"Metz","France","Mali","Forward","right",25500000,1
"Adel Taarabt","2017-2018",28,1615,2,2,4,1,22,11,5720,770,350,720,750,70,280,20,86,"Genoa","Italy","Morocco","Forward","right",1500000,0
"Ademola Lookman","2017-2018",19,159,0,0,0,0,0,0,400,784,20,30,30,10,70,10,186,"Everton","England","England","Forward","right",1.2e+07,1
"Ademola Lookman","2017-2018",19,159,0,0,0,0,0,0,400,784,20,30,30,10,70,10,186,"Everton","England","England","Forward","right",1.2e+07,1
"Ademola Lookman","2020-2021",22,2747,4,4,5,0,26,21,8800,753,600,1050,1150,110,630,130,82,"Fulham","England","England","Forward","right",1.1e+07,1
"Ademola Lookman","2019-2020",21,309,0,0,0,0,0,1,1160,763,70,200,130,0,100,0,127,"RB Leipzig","Germany","England","Midfielder","right",13500000,1
"Ademola Lookman","2017-2018",19,574,5,3,1,0,125,6,1760,746,170,240,320,60,50,0,127,"RB Leipzig","Germany","England","Midfielder","right",1.2e+07,1
"Ademola Lookman","2017-2018",19,574,5,3,1,0,125,6,1760,746,170,240,320,60,50,0,127,"RB Leipzig","Germany","England","Midfielder","right",1.2e+07,1
"Ademola Lookman","2018-2019",20,618,0,2,0,0,29,3,2180,810,90,230,240,30,270,20,129,"Everton","England","England","Forward","right",2e+09,1
"Adil Aouchiche","2019-2020",17,64,0,0,0,0,0,0,240,774,0,10,10,0,20,0,30,"Paris S-G","France","France","Midfielder","right",5400000,0
"Adil Aouchiche","2020-2021",18,1731,2,5,2,0,36,12,5940,718,580,590,940,80,470,120,121,"Saint-Étienne","France","France","Midfielder","right",1e+09,0
"Adil Rami","2017-2018",31,2955,1,1,5,0,6,2,15830,847,70,750,220,40,680,860,209,"Marseille","France","France","Defender","right",7e+08,0
"Adil Rami","2018-2019",32,1412,1,1,2,0,13,2,7070,839,30,460,80,10,240,710,163,"Marseille","France","France","Defender","right",3e+08,0
"Adil Taoui","2019-2020",17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Toulouse","France","France","Midfielder","right",250000,0
"Admir Mehmedi","2017-2018",26,700,2,3,3,0,64,4,3210,766,210,340,310,40,30,20,15,"Leverkusen","Germany","Switzerland","Defender","right",5e+08,0
"Admir Mehmedi","2017-2018",26,290,1,0,0,0,31,1,980,748,40,110,50,0,240,40,4,"Wolfsburg","Germany","Switzerland","Forward","right",5e+08,0
"Admir Mehmedi","2018-2019",27,1692,6,5,1,0,59,13,5630,715,360,610,650,100,610,60,169,"Wolfsburg","Germany","Switzerland","Forward","right",1e+09,0
"Admir Mehmedi","2019-2020",28,1200,2,2,0,0,3,9,4120,718,170,460,320,70,160,30,157,"Wolfsburg","Germany","Switzerland","Midfielder","right",8e+08,0
"Admir Mehmedi","2020-2021",29,820,0,2,0,0,22,2,3470,785,170,440,410,30,240,30,194,"Wolfsburg","Germany","Switzerland","Midfielder","right",4e+08,0
"Admir Mehmedi","2017-2018",26,700,2,3,3,0,64,4,3210,766,210,340,310,40,30,20,15,"Leverkusen","Germany","Switzerland","Defender","right",5e+08,0
"Admir Mehmedi","2017-2018",26,290,1,0,0,0,31,1,980,748,40,110,50,0,240,40,4,"Wolfsburg","Germany","Switzerland","Forward","right",5e+08,0
"Adnan Januzaj","2017-2018",22,1566,3,5,4,0,46,13,4190,748,350,540,830,120,240,50,118,"Real Sociedad","Spain","Belgium","Forward","left",1.2e+07,0
"Adnan Januzaj","2018-2019",23,1254,1,3,1,0,29,7,3670,664,250,500,590,70,190,30,135,"Real Sociedad","Spain","Belgium","Forward","left",1.5e+07,0
"Adnan Januzaj","2019-2020",24,1167,3,3,3,0,46,8,3230,651,220,540,560,70,160,40,146,"Real Sociedad","Spain","Belgium","Forward","left",9500000,0
"Adnan Januzaj","2020-2021",25,1014,4,5,2,0,8,9,4090,714,240,670,550,100,170,50,17,"Real Sociedad","Spain","Belgium","Forward","left",1.2e+07,0
"Adolfo Gaich","2020-2021",21,768,2,0,1,0,23,7,900,638,50,70,140,30,150,40,53,"Benevento","Italy","Argentina","Forward","right",8e+08,0
"Adrián Diéguez","2018-2019",22,749,0,0,3,0,0,1,1530,765,10,100,30,0,270,520,122,"Huesca","Spain","Spain","Defender","right",3e+07,0
"Adrián Diéguez","2018-2019",22,749,0,0,3,0,0,1,1530,765,10,100,30,0,270,520,122,"Huesca","Spain","Spain","Defender","right",3e+07,0
"Adrián Diéguez","2017-2018",21,435,0,0,5,0,0,0,1300,756,0,130,10,0,180,120,10,"Alavés","Spain","Spain","Defender","right",4e+07,0
"Adrián González","2017-2018",29,2340,3,0,9,1,12,10,8630,787,180,810,380,20,540,220,66,"Málaga","Spain","Spain","Midfielder","left",3e+08,0
"Adrián López","2017-2018",29,2343,9,6,1,0,58,21,6200,673,340,920,730,50,280,360,63,"La Coruña","Spain","Spain","Forward","right",4e+08,0
"Adrián López","2019-2020",31,1443,2,0,0,0,12,7,3580,706,220,330,420,30,160,90,127,"Osasuna","Spain","Spain","Forward","right",1400000,0
"Adrián López","2020-2021",32,481,1,1,0,0,37,2,1340,728,50,170,150,20,70,30,112,"Osasuna","Spain","Spain","Forward","right",1200000,0
"Adrian Mariappa","2017-2018",30,2210,0,0,4,0,0,2,7860,786,40,520,90,10,980,1670,114,"Watford","England","Jamaica","Defender","right",1500000,1
"Adrian Mariappa","2018-2019",31,1927,0,0,3,0,0,1,7450,839,50,400,120,0,570,1360,138,"Watford","England","Jamaica","Defender","right",3e+08,1
"Adrian Mariappa","2019-2020",32,1513,0,0,6,1,0,0,4260,728,40,370,100,10,320,930,8,"Watford","England","Jamaica","Defender","right",1600000,1
"Adrián Marín","2020-2021",23,93,0,0,0,0,0,0,850,691,20,150,50,20,20,30,10,"Alavés","Spain","Spain","Defender","left",1200000,0
"Adrián Marín","2020-2021",23,269,0,1,1,0,33,0,400,741,20,100,20,0,110,130,89,"Granada","Spain","Spain","Defender","left",1200000,0
"Adrián Marín","2019-2020",22,852,0,0,1,0,0,0,2530,713,50,390,110,0,290,330,5,"Alavés","Spain","Spain","Defender","left",650000,0
"Adrián Marín","2018-2019",21,290,0,0,2,0,0,0,790,712,0,60,0,0,140,140,15,"Alavés","Spain","Spain","Defender","left",8e+07,0
"Adrián Marín","2017-2018",20,233,0,0,1,0,0,0,830,806,10,80,50,10,70,50,133,"Villarreal","Spain","Spain","Defender","left",1e+08,0
"Adrián Ramos","2019-2020",33,226,0,0,0,0,0,2,490,653,10,80,40,10,30,20,71,"Granada","Spain","Colombia","Forward","right",8e+07,0
"Adrian Stoian","2017-2018",26,2133,2,4,5,0,25,7,6280,613,200,1410,500,70,470,230,97,"Crotone","Italy","Romania","Midfielder","both",1800000,0
