"Player","Season","Age","Min","Gls","Ast","CrdY","CrdR","G+A","SoT","Cmp","Cmp%","KP","Prog","SCA","GCA","Tkl+Int","Clr","PPM","Team","League","Nationality","Position","player_foot","market_value","race"
"Sandro Ramírez","2020-2021",25,1285,5,1,2,0,42,19,2470,760,100,200,280,40,360,30,95,"Huesca","Spain","Spain","Forward","right",3500000,0
"Sandro Tonali","2019-2020",19,3014,1,7,9,0,24,7,11370,719,650,1610,1170,130,840,460,71,"Brescia","Italy","Italy","Midfielder","right",31500000,0
"Sandro Tonali","2020-2021",20,1330,0,0,1,1,0,3,6330,823,160,550,300,10,470,240,22,"Milan","Italy","Italy","Midfielder","right",2.7e+07,0
"Sandro Wagner","2017-2018",29,870,4,3,3,0,72,10,1770,665,180,300,310,30,60,30,127,"Hoffenheim","Germany","Germany","Forward","right",1.2e+07,0
"Sandro Wagner","2017-2018",29,870,4,3,3,0,72,10,1770,665,180,300,310,30,60,30,127,"Hoffenheim","Germany","Germany","Forward","right",1.2e+07,0
"Sandro Wagner","2017-2018",29,726,8,2,1,0,124,14,1590,729,60,90,150,30,80,120,243,"Bayern Munich","Germany","Germany","Forward","right",1.2e+07,0
"Sandro Wagner","2017-2018",29,726,8,2,1,0,124,14,1590,729,60,90,150,30,80,120,243,"Bayern Munich","Germany","Germany","Forward","right",1.2e+07,0
"Sandro Wagner","2018-2019",30,143,0,0,2,0,0,2,250,694,0,10,10,0,40,20,186,"Bayern Munich","Germany","Germany","Forward","right",6e+08,0
"Santi Cazorla","2019-2020",34,2450,11,9,3,0,73,14,14140,816,660,1750,1360,170,570,90,16,"Villarreal","Spain","Spain","Midfielder","both",3200000,0
"Santi Cazorla","2018-2019",33,2647,4,10,2,0,48,7,14130,810,730,1760,1200,130,940,260,114,"Villarreal","Spain","Spain","Midfielder","both",4e+08,0
"Santi Comesaña","2018-2019",21,2032,1,1,6,0,9,2,9160,852,100,800,260,30,710,410,84,"Rayo Vallecano","Spain","Spain","Midfielder","both",4e+08,0
"Santi Mina","2019-2020",23,1944,6,3,4,0,42,14,5000,708,190,540,490,70,250,270,106,"Celta Vigo","Spain","Spain","Forward","right",14500000,0
"Santi Mina","2020-2021",24,2412,12,3,4,0,56,22,4550,741,120,280,380,90,440,210,132,"Celta Vigo","Spain","Spain","Forward","right",1.5e+07,0
"Santi Mina","2018-2019",22,1852,7,5,4,0,58,21,3500,734,150,230,330,50,230,160,163,"Valencia","Spain","Spain","Forward","right",3e+09,0
"Santi Mina","2017-2018",21,1560,12,2,4,0,81,18,3610,768,100,260,390,80,200,150,188,"Valencia","Spain","Spain","Forward","right",2e+09,0
"Santiago Arias","2018-2019",26,1772,1,1,4,0,1,1,8210,792,140,970,320,30,800,460,228,"Atlético Madrid","Spain","Colombia","Defender","right",1.8e+07,0
"Santiago Arias","2019-2020",27,1076,0,1,1,0,8,2,4980,763,100,690,210,20,390,350,164,"Atlético Madrid","Spain","Colombia","Defender","right",1.2e+07,0
"Santiago Arias","2020-2021",28,90,0,0,0,0,0,0,470,855,0,40,10,0,40,30,10,"Leverkusen","Germany","Colombia","Defender","right",6e+08,0
"Santiago Ascacíbar","2017-2018",20,2381,0,1,11,1,4,2,9640,831,90,900,250,10,1000,410,152,"Stuttgart","Germany","Argentina","Midfielder","right",1.8e+07,0
"Santiago Ascacíbar","2018-2019",21,2428,0,0,10,1,0,5,9230,810,130,890,360,30,1010,400,78,"Stuttgart","Germany","Argentina","Midfielder","right",1.2e+07,0
"Santiago Ascacíbar","2019-2020",22,634,0,1,2,0,14,0,2600,844,20,190,40,10,400,190,138,"Hertha BSC","Germany","Argentina","Midfielder","right",8e+08,0
"Santiago Ascacíbar","2020-2021",23,762,1,0,2,0,12,3,2940,833,60,260,130,10,450,190,138,"Hertha BSC","Germany","Argentina","Midfielder","right",6500000,0
"Santiago Cáseres","2018-2019",21,1588,0,1,10,0,6,1,7810,907,150,690,300,10,810,260,117,"Villarreal","Spain","Argentina","Midfielder","right",1e+09,0
"Santiago Gentiletti","2017-2018",32,291,0,0,2,0,0,0,2060,877,0,200,30,0,60,90,25,"Genoa","Italy","Argentina","Defender","left",2e+07,0
"Santy Ngom","2017-2018",24,466,1,0,1,0,19,5,1110,745,70,90,180,10,100,10,123,"Nantes","France","Senegal","Forward","right",5e+07,1
"Sargis Adamyan","2020-2021",27,479,2,3,2,0,94,6,1200,719,120,140,220,60,150,10,15,"Hoffenheim","Germany","Armenia","Forward","right",3500000,0
"Sargis Adamyan","2019-2020",26,746,5,1,1,0,72,10,1400,733,70,130,200,40,130,50,193,"Hoffenheim","Germany","Armenia","Forward","right",4e+08,0
"Sarpreet Singh","2019-2020",20,72,0,0,0,0,0,0,220,759,0,30,10,0,10,0,30,"Bayern Munich","Germany","New Zealand","Forward","left",9e+07,1
"Sasa Kalajdzic","2020-2021",23,2136,16,5,1,0,88,28,4700,704,230,370,560,110,220,170,127,"Stuttgart","Germany","Austria","Forward","left",2.2e+07,0
"Sascha Riether","2018-2019",35,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,10,"Schalke 04","Germany","Germany","Defender","right",3e+07,0
