Season;Player;player_foot;market_value
2018-2019;Aaron Mattia Tabacchi;left;25000
2019-2020;Akin Famewo;left;25000
2018-2019;Alessandro Gabbani;right;25000
2018-2019;Alessandro Gori;left;25000
2017-2018;Andrea Romagnoli;left;25000
2018-2019;Andrea Romagnoli;left;25000
2019-2020;Augustas Dubickas;right;25000
2017-2018;Brady Scott;right;25000
2018-2019;Carl Davordzie;both;25000
2018-2019;Carlo Romei;right;25000
2018-2019;Davide Savi;left;25000
2017-2018;Dennis Smarsch;both;25000
2019-2020;Diego Abbrandini;right;25000
2018-2019;Domenico Cuomo;right;25000
2018-2019;Emanuele Fenderico;right;25000
2019-2020;Emanuele Torrasi;right;25000
2018-2019;Fabrizio Bagheria;right;25000
2018-2019;Federico Pelle;left;25000
2018-2019;Filippo Pavoni;right;25000
2018-2019;Gianni Palmese;right;25000
2018-2019;Giovanni Nuti;left;25000
2017-2018;Lorenzo Spurio;right;25000
2017-2018;Luca Seri;right;25000
2019-2020;Lukas Jensen;right;25000
2019-2020;Michele Laraspata;right;25000
2018-2019;Moussa Souare;right;25000
2019-2020;Niccolò Chiorra;right;25000
2019-2020;Nicolò Radaelli;right;25000
2019-2020;Patrick Enrici;left;25000
2019-2020;Peter Gwargis;left;25000
2019-2020;Razvan Sava;right;25000
2018-2019;Sergio Kalaj;right;25000
2018-2019;Stefano Ferraresi;right;25000
2017-2018;Thomas Candeloro;right;25000
2018-2019;Tommaso Di Renzone;right;25000
2018-2019;Yanis Hénin;left;25000
2017-2018;Adnan Maric;right;40000
2019-2020;Abdoulaye Traoré;right;50000
2017-2018;Abukar Mohamed;right;50000
2018-2019;Adrian Stanilewicz;left;50000
2018-2019;Alberto Carminati;right;50000
2017-2018;Aldo Caiazza;right;50000
2019-2020;Alessandro Berardi;right;50000
2020-2021;Alessandro Berardi;right;50000
2018-2019;Alessandro D'Andrea;left;50000
2018-2019;Alessandro Marongiu;right;50000
2018-2019;Alessio Bianchi;right;50000
2018-2019;Alessio Rollandi;right;50000
2019-2020;Ander Iru;left;50000
2017-2018;Andrea Ciofi;right;50000
2018-2019;Andrea Di Maggio;right;50000
2018-2019;Andrea Paolelli;right;50000
2018-2019;Andrea Rizzo Pinna;right;50000
2018-2019;Andrea Romanò;both;50000
2018-2019;Andrea Sana;right;50000
2019-2020;Aritz Castro;right;50000
2017-2018;Benito Del Valle;right;50000
2019-2020;Bojan Radulovic;right;50000
2019-2020;Callum Slattery;right;50000
2018-2019;Cesare Pogliano;right;50000
2017-2018;Christian Rutjens;right;50000
2018-2019;Damir Bartulovic;right;50000
2017-2018;Dani Vivian;right;50000
2018-2019;Daouda Peeters;right;50000
2017-2018;Dario Vittorio Meadows;right;50000
2018-2019;Davide Mastaj;right;50000
2018-2019;Denis Hergheligiu;left;50000
2017-2018;Dion Henry;right;50000
2018-2019;Dion Henry;right;50000
2019-2020;Dominik Bilogrevic;right;50000
2019-2020;Edoardo Corvi;right;50000
2018-2019;Eduardo Baldé;right;50000
2017-2018;Emanuele Torrasi;right;50000
2018-2019;Emanuele Torrasi;right;50000
2018-2019;Emmanuele Matino;right;50000
2019-2020;Eric Lirussi;right;50000
2018-2019;Fallou Njie;right;50000
2018-2019;Federico Chiossi;right;50000
2018-2019;Federico Ravaglia;right;50000
2017-2018;Ferdinando Coppola;right;50000
2019-2020;Fran Vieites;left;50000
2020-2021;Francesco D'Alterio;right;50000
2019-2020;Francesco Mazzolo;right;50000
2018-2019;Francesco Pezziardi;right;50000
2019-2020;Gaizka Ayesa;right;50000
2017-2018;George Byers;right;50000
2018-2019;Gianluca Saro;right;50000
2019-2020;Gianmarco Chironi;right;50000
2018-2019;Giuseppe Marcianò;right;50000
2019-2020;Iago Domínguez;right;50000
2017-2018;Ismail Jakobs;left;50000
2018-2019;Ismet Sinani;right;50000
2019-2020;Jean Onana;right;50000
2019-2020;Jesús Ruiz;right;50000
2019-2020;Jonas Hupe;right;50000
2017-2018;Jordan Sebban;right;50000
2018-2019;Jorge Silva;right;50000
2019-2020;Jorge Silva;right;50000
2018-2019;Karolis Uzela;right;50000
2019-2020;Krisztofer Horváth;right;50000
2019-2020;Leo Oppermann;right;50000
2017-2018;Leonardo Merio;right;50000
2017-2018;Leonardo Rocha;right;50000
2019-2020;Liam Millar;right;50000
2017-2018;Lirim Kastrati;right;50000
2018-2019;Lorenzo Sarini;right;50000
2018-2019;Luca Coccolo;left;50000
2019-2020;Luka Dumancic;left;50000
2019-2020;Marcel Langer;right;50000
2019-2020;Marco Ballarini;right;50000
2018-2019;Marco Brescianini;left;50000
2018-2019;Marco Spina;left;50000
2018-2019;Matteo Salvi;left;50000
2018-2019;Matteo Salvi;left;50000
2019-2020;Mattia Sandri;right;50000
2018-2019;Maurice Gomis;right;50000
2018-2019;Maurizio Schaeper;right;50000
2018-2019;Mauro Burruchaga;left;50000
2018-2019;Mauro Zitelli;right;50000
2018-2019;Mbaye Seck;left;50000
2018-2019;Modou Badjie;left;50000
2017-2018;Nicola Borghetto;left;50000
2020-2021;Nicola Borghetto;left;50000
2018-2019;Nikola Pejovic;right;50000
2019-2020;Paolo Cannistrà;right;50000
2017-2018;Pasquale Giannotti;right;50000
2019-2020;Patricio Alexis Goglino;right;50000
2017-2018;Paul Jaeckel;right;50000
2020-2021;Pier Graziano Gori;right;50000
2017-2018;Quentin Boisgard;right;50000
2018-2019;Raffaele Russo;right;50000
2019-2020;Redi Kasa;left;50000
2017-2018;Renato;left;50000
2018-2019;Ricardo Farcas;left;50000
2017-2018;Riccardo Cappa;left;50000
2017-2018;Riccardo Forte;right;50000
2018-2019;Riccardo Santovito;left;50000
2019-2020;Rodrigo Zalazar;right;50000
2019-2020;Ryan Johansson;both;50000
2017-2018;Sergio Lozano;right;50000
2017-2018;Simon Laner;right;50000
2020-2021;Simone Farelli;right;50000
2018-2019;Sulaiman Oyewale;left;50000
2018-2019;Tommaso Brignoli;right;50000
2017-2018;Tommaso Pobega;both;50000
2018-2019;Umberto Otranto;right;50000
2017-2018;Víctor San Bartolomé;right;50000
2017-2018;Vlad Dragomir;left;50000
2018-2019;Abukar Mohamed;right;75000
2018-2019;Alberto Alari;left;75000
2017-2018;Alessandro Buongiorno;left;75000
2018-2019;Alessandro Turrin;left;75000
2017-2018;Alessio Donnarumma;right;75000
2017-2018;Alessio Rollandi;right;75000
2018-2019;Andrés Llamas;left;75000
2017-2018;Andrea Cadili;left;75000
2017-2018;Andrea Colpani;left;75000
2018-2019;Andrea Errico;right;75000
2017-2018;Andrea Marcucci;right;75000
2019-2020;Augustinas Klimavicius;right;75000
2018-2019;Caio Vinicius Pirana;right;75000
2018-2019;Callum Roberts;left;75000
2017-2018;Christ Kouadio;right;75000
2017-2018;Daniele Cipolla;right;75000
2019-2020;Danilo Giacinto Ventola;right;75000
2018-2019;Davide Mansi;right;75000
2017-2018;Domenico Coppola;right;75000
2019-2020;Edgaras Dubickas;right;75000
2018-2019;Edoardo Bianchi;right;75000
2018-2019;Edoardo Rezzi;right;75000
2017-2018;Enrico Del Prato;right;75000
2019-2020;Enrico Oviszach;right;75000
2017-2018;Erick Ferigra;right;75000
2017-2018;Fabrizio Brignani;right;75000
2017-2018;Federico Brancolini;right;75000
2019-2020;Filippo Gilli;right;75000
2018-2019;Filippo Oliana;right;75000
2017-2018;Filippo Pavoni;right;75000
2017-2018;Florian Mayer;right;75000
2018-2019;Francesco Verde;right;75000
2017-2018;Franck Djoulou;right;75000
2017-2018;Frank Tsadjout;left;75000
2017-2018;Gabriel Barbosa;right;75000
2019-2020;Gabriele Boloca;right;75000
2019-2020;Giacomo Olzer;left;75000
2018-2019;Giacomo Piccardo;right;75000
2019-2020;Gianluca Frabotta;left;75000
2018-2019;Giordano Trovade;left;75000
2018-2019;Giorgio Altare;right;75000
2018-2019;Giorgio Siani;right;75000
2017-2018;Giuseppe Esposito;right;75000
2019-2020;Ilario Monterisi;right;75000
2017-2018;Jamie Sterry;right;75000
2018-2019;Jamie Sterry;right;75000
2019-2020;Jamie Sterry;right;75000
2019-2020;Jan Kubala;left;75000
2018-2019;João Ricciulli;right;75000
2017-2018;Joseph Tetteh;right;75000
2017-2018;Justin Hoffmanns;right;75000
2018-2019;Keba Coly;right;75000
2018-2019;Lazar Nikolic;right;75000
2017-2018;Leonardo Loria;right;75000
2017-2018;Leonardo Rivoira;right;75000
2018-2019;Lorenzo Adorni;right;75000
2019-2020;Lorenzo Avogadri;right;75000
2018-2019;Lorenzo Rivi;right;75000
2019-2020;Luca Gemello;right;75000
2017-2018;Luca Sparandeo;left;75000
2019-2020;Lucas Felippe;left;75000
2019-2020;Ludovico Gelmi;right;75000
2018-2019;Luigi D'Ignazio;left;75000
2017-2018;Manuel Ferrini;left;75000
2017-2018;Manuel Lombardoni;right;75000
2018-2019;Marco Curto;right;75000
2019-2020;Marco Meneghetti;right;75000
2018-2019;Mariano Bernardini;right;75000
2019-2020;Mason Bloomfield;right;75000
2018-2019;Massimiliano Benucci;left;75000
2019-2020;Matt Butcher;left;75000
2019-2020;Matteo Cardinali;right;75000
2019-2020;Matteo Soncin;both;75000
2019-2020;Mattia Compagnon;left;75000
2018-2019;Mattia Cozzari;right;75000
2019-2020;Mattia Felici;right;75000
2017-2018;Michael Scarf;left;75000
2018-2019;Michele Emmausso;right;75000
2019-2020;Mihael Onisa;left;75000
2018-2019;Niccolò Ricchi;left;75000
2018-2019;Nicola Danieli;right;75000
2017-2018;Nicolas Wähling;right;75000
2019-2020;Niklas Wiemann;left;75000
2017-2018;Ognjen Stijepovic;left;75000
2017-2018;Pio Schiavi;right;75000
2018-2019;Pio Schiavi;right;75000
2017-2018;Raffaele Russo;right;75000
2017-2018;Riccardo Piscitelli;left;75000
2018-2019;Roberto Criscuolo;right;75000
2018-2019;Roberto Taliento;right;75000
2017-2018;Ryan Inniss;right;75000
2017-2018;Salvatore Elia;right;75000
2019-2020;Sam Woods;right;75000
2019-2020;Sebastian Breza;right;75000
2018-2019;Simone Canestrelli;right;75000
2017-2018;Stefano Ciavattini;right;75000
2018-2019;Stefano Greco;right;75000
2018-2019;Stefano Mazzini;right;75000
2018-2019;Thadée Kaleba;right;75000
2017-2018;Umberto Otranto;right;75000
2018-2019;Victor da Silva;right;75000
2018-2019;Vincenzo Mustacciolo;right;75000
2018-2019;Vincenzo Tommasone;right;75000
2018-2019;Yves Kouadio;right;75000
2019-2020;Álex Blesa;left;1,00E+05
2018-2019;Álex Pachón;right;1,00E+05
2017-2018;Aaron Herzog;both;1,00E+05
2019-2020;Abdallahi Mahmoud;right;1,00E+05
2019-2020;Abou Ouattara;right;1,00E+05
2019-2020;Aimar Oroz;right;1,00E+05
2017-2018;Alessandro Bellemo;right;1,00E+05
2017-2018;Alessandro Confente;right;1,00E+05
2018-2019;Alessandro Giacomel;right;1,00E+05
2018-2019;Alessandro Santopadre;left;1,00E+05
2017-2018;Alexander Stolz;right;1,00E+05
2018-2019;Alexander Stolz;right;1,00E+05
2019-2020;Alexander Stolz;right;1,00E+05
2018-2019;Alexandro Cavagnera;right;1,00E+05
2018-2019;Alexandru Dobre;right;1,00E+05
2017-2018;Alexis Guendouz;right;1,00E+05
2018-2019;Alfie Jones;right;1,00E+05
2017-2018;Aly Abeid;left;1,00E+05
2017-2018;Anas Ouahim;right;1,00E+05
2018-2019;Ander Bardají;right;1,00E+05
2018-2019;Andrea Bandini;right;1,00E+05
2017-2018;Andrea Cossu;right;1,00E+05
2018-2019;Andrea Ghion;right;1,00E+05
2018-2019;Andrea Masetti;left;1,00E+05
2017-2018;Andrea Tessiore;right;1,00E+05
2017-2018;Andreas Hirzel;right;1,00E+05
2017-2018;Andrej Kotnik;right;1,00E+05
2017-2018;Anthony Mandréa;right;1,00E+05
2019-2020;Antonio Aranda;right;1,00E+05
2017-2018;Antonio D'Alena;left;1,00E+05
2020-2021;Antonio Rosati;right;1,00E+05
2018-2019;Antonio Santurro;right;1,00E+05
2019-2020;Aristidi Kolaj;right;1,00E+05
2020-2021;Arnau Fàbrega;right;1,00E+05
2020-2021;Arne Schulz;right;1,00E+05
2018-2019;Benjamin Hadzic;right;1,00E+05
2017-2018;Benjamin Vérité;right;1,00E+05
2017-2018;Bobby Allain;right;1,00E+05
2017-2018;Bogdan Lobont;right;1,00E+05
2018-2019;Borja Fernández;right;1,00E+05
2019-2020;Brady Scott;right;1,00E+05
2019-2020;Carlos Marín;right;1,00E+05
2017-2018;Chima Okoroji;left;1,00E+05
2018-2019;Christoph Janker;right;1,00E+05
2019-2020;Conor Noß;right;1,00E+05
2017-2018;Cristian Mutton;right;1,00E+05
2020-2021;Cy Goddard;left;1,00E+05
2018-2019;Daniel Fuzato;right;1,00E+05
2019-2020;Daouda Peeters;right;1,00E+05
2017-2018;David García;right;1,00E+05
2020-2021;David Kong;right;1,00E+05
2019-2020;David Philipp;both;1,00E+05
2017-2018;Davide Borsellini;right;1,00E+05
2018-2019;Davide Marfella;right;1,00E+05
2020-2021;Davide Masella;right;1,00E+05
2018-2019;Davide Seminara;left;1,00E+05
2018-2019;Davide Sibilia;right;1,00E+05
2018-2019;Deji Beyreuther;left;1,00E+05
2018-2019;Demba Thiam;right;1,00E+05
2019-2020;Demba Thiam;right;1,00E+05
2019-2020;Denis Portanova;right;1,00E+05
2019-2020;Diego Altube;right;1,00E+05
2019-2020;Dion Ruffo Luci;left;1,00E+05
2019-2020;Ebrima Darboe;right;1,00E+05
2018-2019;Edoardo Sbampato;right;1,00E+05
2020-2021;Eduardo dos Santos Haesler;right;1,00E+05
2017-2018;Elisha Owusu;right;1,00E+05
2018-2019;Enrico Zanoni;left;1,00E+05
2018-2019;Erald Lakti;right;1,00E+05
2017-2018;Eros Schiavon;right;1,00E+05
2019-2020;Fabio Porru;right;1,00E+05
2018-2019;Federico Brancolini;right;1,00E+05
2017-2018;Federico Ravaglia;right;1,00E+05
2018-2019;Felix Schwarzholz;right;1,00E+05
2017-2018;Fernando Navarro;left;1,00E+05
2017-2018;Filip Vasko;right;1,00E+05
2018-2019;Filip Vasko;right;1,00E+05
2018-2019;Filippo Gilli;right;1,00E+05
2017-2018;Finn Dahmen;right;1,00E+05
2019-2020;Flávio Cristóvão;right;1,00E+05
2018-2019;Francesco Giorno;right;1,00E+05
2018-2019;Francesco Rossi;right;1,00E+05
2019-2020;Francesco Rossi;right;1,00E+05
2020-2021;Francesco Rossi;right;1,00E+05
2018-2019;Francesco Verde;right;1,00E+05
2017-2018;Franck Evina;right;1,00E+05
2018-2019;Frank Tsadjout;left;1,00E+05
2018-2019;Gabriele Ferrarini;right;1,00E+05
2017-2018;Genís Montolio;right;1,00E+05
2017-2018;Giacomo Boccafoglia;right;1,00E+05
2019-2020;Giacomo Manzari;left;1,00E+05
2018-2019;Giacomo Parigi;right;1,00E+05
2017-2018;Giacomo Poluzzi;left;1,00E+05
2018-2019;Giacomo Poluzzi;left;1,00E+05
2018-2019;Giacomo Zecca;right;1,00E+05
2020-2021;Gianluca Pegolo;left;1,00E+05
2018-2019;Gianluca Piccoli;right;1,00E+05
2018-2019;Gianni Munari;right;1,00E+05
2019-2020;Giorgi Kochorashvili;right;1,00E+05
2018-2019;Giovanni Pinto;left;1,00E+05
2017-2018;Giovanni Volpicelli;right;1,00E+05
2019-2020;Giuseppe Aurelio;left;1,00E+05
2017-2018;Hachim Mastour;right;1,00E+05
2018-2019;Hamza El Kaouakibi;right;1,00E+05
2020-2021;Henning Matriciani;right;1,00E+05
2018-2019;Hilton;right;1,00E+05
2019-2020;Hilton;right;1,00E+05
2020-2021;Igor Lucatelli;right;1,00E+05
2017-2018;Ioannis Gelios;right;1,00E+05
2019-2020;Iulius Marginean;right;1,00E+05
2018-2019;Jack Rose;right;1,00E+05
2019-2020;Jack Rose;right;1,00E+05
2018-2019;Jack Ruddy;right;1,00E+05
2019-2020;Jacopo Pellegrini;right;1,00E+05
2019-2020;Jake Eastwood;right;1,00E+05
2020-2021;Jake Eastwood;right;1,00E+05
2018-2019;Jan-Ingwer Callsen-Bracker;right;1,00E+05
2018-2019;Jannick Theißen;right;1,00E+05
2017-2018;Jaroslav Drobny;right;1,00E+05
2018-2019;Jaroslav Drobny;right;1,00E+05
2019-2020;Jaume Cuéllar;both;1,00E+05
2018-2019;Javi Vázquez;left;1,00E+05
2020-2021;Jimmy Kaparos;right;1,00E+05
2020-2021;João Queirós;left;1,00E+05
2017-2018;João Ricciulli;right;1,00E+05
2017-2018;Johannes Bühler;right;1,00E+05
2018-2019;Jonathan Meier;left;1,00E+05
2017-2018;Jordan Williams;right;1,00E+05
2019-2020;José Luis Trápaga;right;1,00E+05
2019-2020;Jose Fontán;left;1,00E+05
2017-2018;Josh Pask;right;1,00E+05
2017-2018;Juan Moreno;right;1,00E+05
2018-2019;Juanjo Camacho;left;1,00E+05
2019-2020;Juanlu Sánchez;right;1,00E+05
2018-2019;Julio Alonso;left;1,00E+05
2018-2019;Karim Zedadka;right;1,00E+05
2020-2021;Karim Zedadka;right;1,00E+05
2017-2018;Keshi Anderson;right;1,00E+05
2017-2018;Koke Vegas;right;1,00E+05
2017-2018;Leo Weinkauf;right;1,00E+05
2017-2018;Leon Bätge;right;1,00E+05
2019-2020;Leon Brüggemeier;both;1,00E+05
2019-2020;Leonardo Stanzani;left;1,00E+05
2017-2018;Leonardo Ubaldi;right;1,00E+05
2020-2021;Lino Kasten;right;1,00E+05
2019-2020;Lorenzo Andrenacci;right;1,00E+05
2018-2019;Lorenzo Carissoni;right;1,00E+05
2018-2019;Lorenzo Crisanto;right;1,00E+05
2018-2019;Lorenzo Polvani;right;1,00E+05
2018-2019;Lorenzo Saporetti;left;1,00E+05
2017-2018;Lorenzo Valeau;left;1,00E+05
2018-2019;Luan Capanni;right;1,00E+05
2019-2020;Luca Coccolo;left;1,00E+05
2019-2020;Luca Falbo;left;1,00E+05
2018-2019;Luca Gemello;right;1,00E+05
2020-2021;Luca Philipp;right;1,00E+05
2017-2018;Luca Plogmann;both;1,00E+05
2018-2019;Luca Zanon;left;1,00E+05
2018-2019;Luigi Carillo;left;1,00E+05
2017-2018;Luigi D'Ignazio;left;1,00E+05
2017-2018;Luka Markovic;both;1,00E+05
2017-2018;Lukas Zima;right;1,00E+05
2017-2018;Luke Amos;left;1,00E+05
2018-2019;Luke Amos;left;1,00E+05
2018-2019;Maj Roric;left;1,00E+05
2017-2018;Makan Macalou;right;1,00E+05
2020-2021;Mamadou Doucouré;left;1,00E+05
2017-2018;Mandela Egbo;right;1,00E+05
2017-2018;Manu Morlanes;right;1,00E+05
2017-2018;Manuel Wintzheimer;both;1,00E+05
2020-2021;Marcel Johnen;right;1,00E+05
2018-2019;Marco Alia;right;1,00E+05
2019-2020;Marco Alia;right;1,00E+05
2020-2021;Marco Alia;right;1,00E+05
2019-2020;Marco Brescianini;left;1,00E+05
2018-2019;Marco Imperiale;left;1,00E+05
2017-2018;Marco Pissardo;right;1,00E+05
2018-2019;Marco Soprano;right;1,00E+05
2017-2018;Marco Storari;right;1,00E+05
2019-2020;Mario Del Campo;right;1,00E+05
2020-2021;Marius Liesegang;right;1,00E+05
2017-2018;Marlon Sündermann;right;1,00E+05
2018-2019;Martín Zubimendi;right;1,00E+05
2018-2019;Massimo Tazzer;right;1,00E+05
2019-2020;Matija Sarkic;right;1,00E+05
2017-2018;Mats Köhlert;left;1,00E+05
2018-2019;Matteo Procopio;left;1,00E+05
2019-2020;Matteo Raspa;right;1,00E+05
2018-2019;Matteo Rossetti;left;1,00E+05
2018-2019;Matteo Rover;right;1,00E+05
2017-2018;Mattia Del Favero;right;1,00E+05
2018-2019;Mattia Del Favero;right;1,00E+05
2017-2018;Max Melbourne;left;1,00E+05
2017-2018;Maxime Leverbe;right;1,00E+05
2018-2019;Maxime Leverbe;right;1,00E+05
2018-2019;Maxime Leverbe;right;1,00E+05
2017-2018;Maximilian Waack;right;1,00E+05
2019-2020;Merveille Papela;right;1,00E+05
2018-2019;Michael Langer;right;1,00E+05
2019-2020;Michael Langer;right;1,00E+05
2020-2021;Michael Langer;right;1,00E+05
2019-2020;Michael Ratajczak;right;1,00E+05
2019-2020;Michel Stöcker;left;1,00E+05
2018-2019;Michele Bruzzo;right;1,00E+05
2018-2019;Miloš Bočić;right;1,00E+05
2018-2019;Mohamed Bahlouli;right;1,00E+05
2017-2018;Momo;left;1,00E+05
2018-2019;Moody Chana;right;1,00E+05
2018-2019;Mouhamadou Sarr;right;1,00E+05
2019-2020;Mouhamadou Sarr;right;1,00E+05
2017-2018;Nabil Jaadi;right;1,00E+05
2017-2018;Nelson Mandela Mbouhom;both;1,00E+05
2017-2018;Nicolás Garmendia;right;1,00E+05
2018-2019;Nicolas Frey;right;1,00E+05
2018-2019;Nicolas Wähling;right;1,00E+05
2019-2020;Niklas Kölle;left;1,00E+05
2019-2020;Niklas Klinger;right;1,00E+05
2020-2021;Niklas Klinger;right;1,00E+05
2020-2021;Nikolai Kemlein;right;1,00E+05
2020-2021;Nikolai Rehnen;right;1,00E+05
2020-2021;Nino;right;1,00E+05
2017-2018;Noel Knothe;right;1,00E+05
2018-2019;Noel Knothe;right;1,00E+05
2018-2019;Nunzio Lella;right;1,00E+05
2018-2019;Ognjen Stijepovic;left;1,00E+05
2019-2020;Oskar Buur;right;1,00E+05
2017-2018;Over Mandanda;right;1,00E+05
2018-2019;Over Mandanda;right;1,00E+05
2018-2019;Pablo Muñoz;right;1,00E+05
2018-2019;Panzu Ernesto;right;1,00E+05
2017-2018;Patric Klandt;right;1,00E+05
2018-2019;Patric Klandt;right;1,00E+05
2020-2021;Pedro López;right;1,00E+05
2017-2018;Pedro Martínez;right;1,00E+05
2019-2020;Pepe Sánchez;right;1,00E+05
2017-2018;Philipp Köhn;right;1,00E+05
2017-2018;Rekeem Harper;right;1,00E+05
2018-2019;Riccardo Mastrilli;left;1,00E+05
2019-2020;Riccardo Mastrilli;left;1,00E+05
2019-2020;Roberto Pierno;right;1,00E+05
2017-2018;Romain Faivre;left;1,00E+05
2017-2018;Ruben Droehnle;left;1,00E+05
2017-2018;Ryan Schofield;right;1,00E+05
2018-2019;Ryan Schofield;right;1,00E+05
2017-2018;Sahverdi Cetin;right;1,00E+05
2019-2020;Salvatore Rimoli;left;1,00E+05
2018-2019;Sebastiano Longo;right;1,00E+05
2019-2020;Sergio Maselli;right;1,00E+05
2017-2018;Sergio Mora;right;1,00E+05
2018-2019;Shady Oukhadda;right;1,00E+05
2019-2020;Shaka Mawuli;right;1,00E+05
2017-2018;Simon Lorenz;right;1,00E+05
2020-2021;Simone Aresti;right;1,00E+05
2018-2019;Simone Ghidotti;right;1,00E+05
2020-2021;Siriki Sanogo;left;1,00E+05
2019-2020;Steeve-Mike Eyango;right;1,00E+05
2018-2019;Stefano Marchetti;right;1,00E+05
2018-2019;Stefano Pellizzari;right;1,00E+05
2019-2020;Stefano Russo;right;1,00E+05
2018-2019;Sylvain Deslandes;left;1,00E+05
2018-2019;Thakgalo Leshabela;right;1,00E+05
2017-2018;Thomas Bolis;right;1,00E+05
2018-2019;Tim Wiesner;both;1,00E+05
2019-2020;Tim Wiesner;both;1,00E+05
2017-2018;Timothy Tillman;right;1,00E+05
2017-2018;Tom Starke;right;1,00E+05
2017-2018;Tommaso Berni;right;1,00E+05
2018-2019;Tommaso Berni;right;1,00E+05
2019-2020;Tommaso Berni;right;1,00E+05
2018-2019;Tommaso Fantacci;left;1,00E+05
2018-2019;Valerio Di Cesare;right;1,00E+05
2018-2019;Vincenzo Plescia;right;1,00E+05
2020-2021;Vladislav Cherny;right;1,00E+05
2019-2020;Xisco Campos;right;1,00E+05
2020-2021;Yannick Brugger;right;1,00E+05
2017-2018;Young-jae Seo;left;1,00E+05
2019-2020;Aaron Herzog;both;125000
2018-2019;Alessandro Confente;right;125000
2019-2020;Alessandro Lombardi;right;125000
2017-2018;Alexander Groiß;right;125000
2017-2018;Alexander Rossipal;left;125000
2018-2019;Amidu Salifu;right;125000
2019-2020;Amidu Salifu;right;125000
2018-2019;Andrea Adorante;right;125000
2018-2019;Andrea Cagnano;left;125000
2018-2019;Antonio Di Nardo;right;125000
2019-2020;Chinedu Ekene;right;125000
2018-2019;Cristian Cauz;left;125000
2018-2019;Daniel Bezziccheri;right;125000
2018-2019;Davide Cais;right;125000
2017-2018;Efkan Bekiroglu;right;125000
2018-2019;Erasmo Mulè;right;125000
2018-2019;Fabian Senninger;right;125000
2018-2019;Fabrizio Brignani;right;125000
2018-2019;Filippo Berardi;left;125000
2017-2018;Gabriele Gori;left;125000
2018-2019;Giacomo Ricci;left;125000
2019-2020;Giacomo Ricci;left;125000
2017-2018;Giacomo Satalino;right;125000
2017-2018;Gianluca Frabotta;left;125000
2018-2019;Giorgio Spizzichino;right;125000
2018-2019;Giuseppe Caso;right;125000
2019-2020;Iba May;right;125000
2019-2020;Jannick Theißen;right;125000
2017-2018;Karlo Butic;left;125000
2017-2018;Keba Coly;right;125000
2018-2019;Lorenzo Migliorelli;left;125000
2019-2020;Luis Klatte;right;125000
2017-2018;Marcel Benger;right;125000
2017-2018;Marin Sverko;left;125000
2018-2019;Marin Sverko;left;125000
2018-2019;Mattia Trovato;right;125000
2019-2020;Omar Marmoush;right;125000
2018-2019;Paul Will;left;125000
2018-2019;Pietro Cianci;left;125000
2018-2019;Raffaele Celia;left;125000
2017-2018;Raul Oprut;left;125000
2018-2019;Riccardo Cargnelutti;right;125000
2018-2019;Riccardo Gatti;left;125000
2017-2018;Ridle Baku;right;125000
2019-2020;Shinta Appelkamp;right;125000
2017-2018;Silvio Anocic;left;125000
2018-2019;Simone Muratore;right;125000
2019-2020;Simone Muratore;right;125000
2017-2018;Sinan Kurt;left;125000
2017-2018;Titas Krapikas;right;125000
2018-2019;Tommaso Farabegoli;right;125000
2019-2020;Ulysses Llanez;right;125000
2018-2019;Wilfried Singo;right;125000
2018-2019;Álex Pastor;right;150000
2019-2020;Álvaro García;left;150000
2017-2018;Ángel López;left;150000
2018-2019;Aaron Boupendza;left;150000
2019-2020;Abdallah Ali Mohamed;right;150000
2019-2020;Abdoulaye Touré;right;150000
2017-2018;Adam King;right;150000
2020-2021;Adam Oudjani;right;150000
2018-2019;Adil Taoui;right;150000
2019-2020;Adrian Oeynhausen;right;150000
2019-2020;Agim Zeka;left;150000
2018-2019;Alessandro Bellemo;right;150000
2017-2018;Alessandro Guarnone;right;150000
2018-2019;Alessandro Mattioli;right;150000
2018-2019;Alessandro Quaini;right;150000
2018-2019;Alessio Zerbin;right;150000
2018-2019;Alexis Guendouz;right;150000
2017-2018;Alexis Larriere;right;150000
2018-2019;Alhassane Soumah;right;150000
2019-2020;Amadou Ndiaye;right;150000
2019-2020;Amir Aduev;right;150000
2018-2019;Andrea Boffelli;left;150000
2018-2019;Andrea Cisco;right;150000
2019-2020;Andrea Ghezzi;right;150000
2017-2018;Andrea Tozzo;left;150000
2018-2019;Andrea Tozzo;left;150000
2018-2019;Andrea Vassallo;left;150000
2019-2020;Anthony Rouault;right;150000
2018-2019;Antonio Domínguez;left;150000
2020-2021;Aristóteles Romero;right;150000
2019-2020;Aritz Arambarri;right;150000
2020-2021;Béni Makouana;right;150000
2019-2020;Batista Mendy;right;150000
2018-2019;Benny Ashley-Seal;right;150000
2019-2020;Benny Ashley-Seal;right;150000
2017-2018;Birk Risa;left;150000
2019-2020;Boris Essele;right;150000
2019-2020;Boubacar Traoré;right;150000
2020-2021;Boubacar Traoré;right;150000
2017-2018;Brighton Labeau;right;150000
2018-2019;Bryan Passi;right;150000
2019-2020;Carlton Morris;right;150000
2017-2018;Cazim Suljic;right;150000
2020-2021;Charly Jan;right;150000
2020-2021;Cheick Souaré;left;150000
2019-2020;Cheikh Niasse;right;150000
2017-2018;Chris Führich;right;150000
2017-2018;Christian Früchtl;left;150000
