Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Mouctar Diakhaby;23;2079;1;0;4;1;4;4;8440;860;0;370;50;0;310;1350;10;2020-2021;Valencia;Spain;France;Defender
Mouhamadou Drammeh;21;173;0;0;1;0;0;0;430;811;20;40;30;0;30;70;117;2020-2021;Reims;France;France;Midfielder
Mounir Chouiar;21;1288;0;2;5;0;14;5;3950;755;270;400;500;20;310;60;48;2020-2021;Dijon;France;France;Forward
Moussa Dembélé;24;100;0;0;0;0;0;8;1040;712;60;120;230;10;0;0;20;2020-2021;Atlético Madrid;Spain;France;Forward
Moussa Dembélé;24;677;1;0;3;0;13;2;200;606;10;10;20;0;50;90;206;2020-2021;Lyon;France;France;Forward
Moussa Diaby;21;2388;4;11;5;0;57;25;7220;761;440;550;780;170;320;100;163;2020-2021;Leverkusen;Germany;France;Forward
Moussa Djenepo;22;1240;1;0;5;0;7;2;2950;738;70;240;310;40;570;160;96;2020-2021;Southampton;England;Mali;Midfielder
Moussa Doumbia;25;899;0;1;1;0;1;3;3380;811;140;270;330;30;220;30;143;2020-2021;Reims;France;Mali;Midfielder
Moussa Konaté;27;1196;5;1;4;0;45;8;2110;735;60;140;190;40;120;70;59;2020-2021;Dijon;France;Senegal;Forward
Moussa Koné;23;1755;9;0;2;0;46;16;2370;777;100;150;200;0;240;70;91;2020-2021;Nîmes;France;Senegal;Forward
Moussa Niakhate;24;2866;3;1;10;1;13;5;11310;740;150;1120;380;20;980;1260;122;2020-2021;Mainz 05;Germany;France;Defender
Moussa Sissoko;30;1585;0;0;3;0;0;1;6660;841;50;360;170;10;410;320;156;2020-2021;Tottenham;England;France;Midfielder
Moïse Sakava;19;8;0;0;0;0;0;0;70;1000;0;10;10;0;0;0;30;2020-2021;Reims;France;Cameroon;Midfielder
Munir El Haddadi;24;845;4;2;2;0;64;13;2720;788;110;240;250;30;140;50;196;2020-2021;Sevilla;Spain;Morocco;Forward
Musa Barrow;21;2921;8;8;0;0;49;38;8380;713;580;880;1060;110;350;180;108;2020-2021;Bologna;Italy;Gambia;Forward
Musa Juwara;18;46;0;0;1;0;0;1;220;688;0;40;0;0;30;0;6;2020-2021;Bologna;Italy;Gambia;Defender
Muzinga Ngonda;25;2307;2;0;5;0;8;4;12170;728;180;1390;320;20;1210;790;5;2020-2021;Dijon;France;Democratic Republic of the Congo;Defender
Myziane Maolida;21;1077;3;1;2;0;33;4;2740;751;150;300;320;40;230;40;142;2020-2021;Nice;France;France;Forward
Mário Rui;29;1669;0;2;4;0;11;2;11260;815;300;860;520;60;580;320;189;2020-2021;Napoli;Italy;Portugal;Defender
Márk Kosznovszky;18;90;0;0;0;0;0;1;350;972;0;20;20;0;50;0;0;2020-2021;Parma;Italy;Hungary;Midfielder
Márton Dárdai;18;821;0;1;0;0;11;0;4060;802;40;440;100;10;330;410;117;2020-2021;Hertha BSC;Germany;Germany;Defender
Mërgim Vojvoda;25;1359;2;2;4;0;26;3;5980;775;80;520;150;40;440;360;108;2020-2021;Torino;Italy;Kosovo;Defender
Míchel;32;946;2;0;3;0;19;5;5280;798;120;400;310;0;330;80;64;2020-2021;Valladolid;Spain;Spain;Midfielder
N'Golo Kanté;29;2146;0;2;7;0;8;3;13020;866;210;1010;470;10;1490;320;197;2020-2021;Chelsea;England;France;Midfielder
Nabil Bentaleb;25;548;0;0;2;0;0;0;2310;822;10;220;40;0;160;70;33;2020-2021;Schalke 04;Germany;Algeria;Midfielder
Nabil Fekir;27;2622;5;6;5;1;38;23;10700;808;520;1190;1380;170;570;30;164;2020-2021;Betis;Spain;France;Midfielder
