Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Aaron Cresswell;27;3069;1;3;7;0;12;6;12240;717;350;960;620;90;900;1330;114;2017-2018;West Ham;England;England;Defender
Aaron Hunt;30;2081;3;2;1;0;22;6;8830;718;650;970;1020;60;440;210;107;2017-2018;Hamburger SV;Germany;Germany;Midfielder
Aaron Lennon;30;1118;0;2;2;0;16;4;2040;694;80;220;180;30;310;90;143;2017-2018;Burnley;England;England;Midfielder
Aaron Lennon;30;793;0;0;0;0;0;1;1520;710;50;170;160;40;250;90;127;2017-2018;Everton;England;England;Forward
Aaron Mooy;26;3067;4;3;4;0;21;6;15610;755;480;1630;730;50;1510;700;94;2017-2018;Huddersfield;England;Australia;Midfielder
Aaron Ramsey;26;1846;7;8;0;0;73;25;10500;839;280;1200;570;130;610;110;183;2017-2018;Arsenal;England;Wales;Midfielder
Aaron Wan-Bissaka;19;627;0;0;1;0;0;0;2010;703;30;220;70;0;440;400;10;2017-2018;Crystal Palace;England;England;Defender
Aarón Martín;20;2816;0;0;6;0;0;2;10100;738;330;840;540;30;730;330;131;2017-2018;Espanyol;Spain;Spain;Defender
Abdallah N'dour;23;254;0;0;2;1;0;0;860;688;50;100;80;0;120;10;6;2017-2018;Strasbourg;France;Senegal;Defender
Abdelhamid Sabiri;20;220;0;1;1;0;41;0;680;708;30;50;60;10;50;40;4;2017-2018;Huddersfield;England;Germany;Midfielder
Abdou Diallo;21;2415;2;1;5;0;11;3;9050;754;60;1090;260;40;880;1070;115;2017-2018;Mainz 05;Germany;Senegal;Defender
Abdoul Camara;27;975;2;1;0;0;28;6;2230;712;90;200;200;10;160;10;107;2017-2018;Guingamp;France;Guinea;Forward
Abdoulaye Bamba;27;1533;0;0;2;0;0;1;6210;767;60;510;160;20;300;300;78;2017-2018;Angers;France;C�te d'Ivoire;Defender
Abdoulaye Doucouré;24;3324;7;3;10;0;27;17;18940;838;390;1660;810;40;1580;810;111;2017-2018;Watford;England;France;Midfielder
Abdoulaye Touré;23;2809;1;1;3;0;6;13;10700;783;180;1400;770;60;1440;410;144;2017-2018;Nantes;France;France;Midfielder
Ablie Jallow;18;129;0;0;0;0;0;0;340;773;10;30;40;0;20;0;0;2017-2018;Metz;France;Gambia;Midfielder
Achraf Hakimi;18;758;2;1;0;0;36;4;3940;821;50;270;110;10;300;90;211;2017-2018;Real Madrid;Spain;Morocco;Defender
Achraf Lazaar;25;478;1;0;0;0;19;4;1200;694;30;30;70;0;160;100;0;2017-2018;Benevento;Italy;Morocco;Midfielder
Adalberto Peñaranda;20;798;0;0;3;0;0;7;1870;770;70;130;250;0;100;20;77;2017-2018;Málaga;Spain;Venezuela;Forward
Adam Lallana;29;308;0;0;1;0;0;0;1920;861;70;270;150;0;90;30;233;2017-2018;Liverpool;England;England;Midfielder
Adam Marušić;24;2523;3;4;3;1;25;13;9250;774;380;720;710;110;470;180;191;2017-2018;Lazio;Italy;Montenegro;Defender
Adam Masina;23;2830;0;1;8;1;3;3;12860;767;240;1610;490;50;1300;1010;97;2017-2018;Bologna;Italy;Morocco;Defender
Adam Ounas;20;96;0;0;0;0;0;1;420;764;50;30;90;20;40;20;143;2017-2018;Napoli;Italy;Algeria;Forward
Adam Smith;26;2071;1;3;6;0;17;3;8940;802;190;660;390;70;1130;550;107;2017-2018;Bournemouth;England;England;Defender
Adama Diakhaby;21;851;2;2;2;1;42;4;1400;654;70;90;140;50;350;30;20;2017-2018;Monaco;France;France;Forward
Adama Mbengue;23;1596;0;0;2;1;0;1;5080;619;110;670;320;0;840;360;132;2017-2018;Caen;France;Senegal;Defender
Adama Niane;24;2166;8;2;6;0;42;23;3520;653;160;190;440;50;250;110;91;2017-2018;Troyes;France;Mali;Forward
Adama Soumaoro;25;1192;0;0;2;0;0;0;5110;908;10;240;20;0;270;430;107;2017-2018;Lille;France;France;Defender
Adama Traoré;22;189;3;0;1;0;143;4;630;829;10;40;60;0;50;10;20;2017-2018;Monaco;France;Mali;Midfielder
Aday;29;1840;2;0;10;0;1;14;6950;691;230;660;510;30;360;230;116;2017-2018;Girona;Spain;Spain;Midfielder
Adel Taarabt;28;1615;2;2;4;1;22;11;5720;770;350;720;750;70;280;20;86;2017-2018;Genoa;Italy;Morocco;Forward
Adem Ljajić;25;2166;6;10;2;0;66;23;10090;791;670;1300;1220;190;210;70;13;2017-2018;Torino;Italy;Serbia;Midfielder
Ademola Lookman;19;574;5;3;1;0;125;6;1760;746;170;240;320;60;50;0;127;2017-2018;RB Leipzig;Germany;England;Midfielder
Ademola Lookman;19;159;0;0;0;0;0;0;400;784;20;30;30;10;70;10;186;2017-2018;Everton;England;England;Forward
Adil Rami;31;2955;1;1;5;0;6;2;15830;847;70;750;220;40;680;860;209;2017-2018;Marseille;France;France;Defender
Admir Mehmedi;26;290;1;0;0;0;31;1;980;748;40;110;50;0;240;40;4;2017-2018;Wolfsburg;Germany;Switzerland;Forward
Admir Mehmedi;26;700;2;3;3;0;64;4;3210;766;210;340;310;40;30;20;15;2017-2018;Leverkusen;Germany;Switzerland;Defender
Adnan Januzaj;22;1566;3;5;4;0;46;13;4190;748;350;540;830;120;240;50;118;2017-2018;Real Sociedad;Spain;Belgium;Forward
Adrian Mariappa;30;2210;0;0;4;0;0;2;7860;786;40;520;90;10;980;1670;114;2017-2018;Watford;England;Jamaica;Defender
Adrian Stoian;26;2133;2;4;5;0;25;7;6280;613;200;1410;500;70;470;230;97;2017-2018;Crotone;Italy;Romania;Midfielder
Adrien Hunou;23;1456;5;0;1;0;31;11;3840;784;100;240;280;30;260;50;167;2017-2018;Rennes;France;France;Forward
Adrien Rabiot;22;2364;1;4;2;0;19;5;19780;912;230;1500;600;110;810;130;242;2017-2018;Paris S-G;France;France;Midfielder
Adrien Silva;28;761;0;1;3;0;12;2;3580;825;70;350;150;10;410;50;10;2017-2018;Leicester City;England;Portugal;Midfielder
Adrien Tameze;23;1683;0;1;3;0;5;3;11720;906;110;710;250;20;730;230;154;2017-2018;Nice;France;Cameroon;Midfielder
Adrien Thomasson;23;2582;5;3;4;0;28;16;10070;765;330;1120;770;80;970;90;133;2017-2018;Nantes;France;France;Midfielder
Adrián Diéguez;21;435;0;0;5;0;0;0;1300;756;0;130;10;0;180;120;10;2017-2018;Alavés;Spain;Spain;Defender
Adrián González;29;2340;3;0;9;1;12;10;8630;787;180;810;380;20;540;220;66;2017-2018;Málaga;Spain;Spain;Midfielder
Adrián López;29;2343;9;6;1;0;58;21;6200;673;340;920;730;50;280;360;63;2017-2018;La Coruña;Spain;Spain;Forward
Adrián Marín;20;233;0;0;1;0;0;0;830;806;10;80;50;10;70;50;133;2017-2018;Villarreal;Spain;Spain;Defender
Adrián Sahibeddine;22;18;0;0;0;0;0;0;50;833;0;10;30;0;10;0;10;2017-2018;Dijon;France;France;Forward
Afonso Figueiredo;24;223;0;0;1;0;0;0;870;696;0;110;20;0;30;30;18;2017-2018;Rennes;France;Portugal;Defender
Afriyie Acquah;25;951;1;0;4;2;9;3;4030;840;30;350;150;0;210;70;164;2017-2018;Torino;Italy;Ghana;Midfielder
Ager Aketxe;23;41;0;0;1;0;0;0;320;780;0;20;30;10;10;0;167;2017-2018;Athletic Club;Spain;Spain;Midfielder
Ahmad Benali;25;811;1;1;2;0;22;3;2880;760;50;420;150;30;320;130;9;2017-2018;Crotone;Italy;Libya;Midfielder
Ahmed Hegazi;26;3386;2;0;4;0;5;4;8530;736;40;640;120;0;1540;3170;82;2017-2018;West Brom;England;Egypt;Defender
Ailton;22;108;0;0;0;0;0;0;450;726;20;30;20;0;60;10;8;2017-2018;Stuttgart;Germany;Brazil;Defender
Ainsley Maitland-Niles;19;914;0;0;1;0;0;0;5360;847;70;360;120;0;590;220;167;2017-2018;Arsenal;England;England;Defender
Aitor Ruibal;21;10;0;0;0;0;0;0;50;1000;0;0;0;0;0;0;15;2017-2018;Betis;Spain;Spain;Forward
Alassane Pléa;24;3041;16;4;7;0;59;43;7930;771;300;820;1160;180;260;140;134;2017-2018;Nice;France;France;Forward
Alberto Aquilani;33;1298;0;0;4;0;0;4;8260;833;100;640;210;0;510;180;57;2017-2018;Las Palmas;Spain;Italy;Midfielder
Alberto Bueno;29;233;0;0;0;0;0;2;800;777;30;90;50;0;20;20;27;2017-2018;Málaga;Spain;Spain;Forward
Alberto Grassi;22;2253;3;0;3;0;12;13;6650;822;70;590;390;60;770;400;104;2017-2018;SPAL;Italy;Italy;Midfielder
Alberto López;22;45;0;0;0;0;0;0;150;682;0;0;0;0;10;20;0;2017-2018;Málaga;Spain;Spain;Defender
Alberto Moreno;25;1266;0;0;1;0;0;2;7900;827;150;660;260;20;620;450;169;2017-2018;Liverpool;England;Spain;Defender
Alberto Paloschi;27;2184;7;0;2;0;29;12;2920;717;120;140;360;50;160;90;94;2017-2018;SPAL;Italy;Italy;Forward
Alberto Redondo;20;90;0;0;0;0;0;0;130;448;0;10;0;0;30;10;30;2017-2018;Getafe;Spain;Spain;Defender
Alberto de la Bella;31;1526;0;1;4;0;6;1;8120;785;170;600;290;10;490;310;106;2017-2018;Real Sociedad;Spain;Spain;Defender
Albin Ekdal;28;1108;0;1;3;0;8;1;4300;768;60;540;210;20;440;260;126;2017-2018;Hamburger SV;Germany;Sweden;Midfielder
Aleandro Rosi;30;1700;0;1;5;0;5;4;5650;696;80;630;170;0;500;540;96;2017-2018;Genoa;Italy;Italy;Defender
Aleix García;20;863;1;0;3;0;1;3;4340;791;110;330;240;20;270;80;16;2017-2018;Girona;Spain;Spain;Midfielder
Aleix Vidal;27;468;1;1;0;0;38;6;2090;768;50;250;110;30;130;20;26;2017-2018;Barcelona;Spain;Spain;Midfielder
Alejandro Arribas;28;270;0;0;0;0;0;0;960;800;0;40;0;0;60;50;10;2017-2018;La Coruña;Spain;Spain;Defender
Alejandro Gutiérrez Mozo;22;45;0;0;0;0;0;0;140;875;0;0;0;0;40;0;0;2017-2018;Leganés;Spain;Spain;Midfielder
Aleksandar Dragović;26;769;0;0;2;0;0;0;2980;856;0;200;20;0;280;510;109;2017-2018;Leicester City;England;Austria;Defender
Aleksandar Dragović;26;45;0;0;0;0;0;0;190;826;0;10;0;0;0;10;0;2017-2018;Leverkusen;Germany;Austria;Defender
Aleksandar Katai;26;57;0;0;0;0;0;0;90;818;0;20;30;10;20;0;10;2017-2018;Alavés;Spain;Serbia;Forward
Aleksandar Kolarov;31;3060;2;6;3;0;24;13;19670;763;810;2150;1470;120;980;600;194;2017-2018;Roma;Italy;Serbia;Defender
Aleksandar Mitrović;22;95;1;0;0;0;95;2;360;706;30;20;60;10;10;20;117;2017-2018;Newcastle Utd;England;Serbia;Forward
Aleksandar Tonev;27;401;0;0;0;0;0;3;650;591;30;60;70;0;50;20;38;2017-2018;Crotone;Italy;Bulgaria;Forward
Alen Halilović;21;1305;2;1;1;1;21;15;3730;726;210;350;460;40;90;60;75;2017-2018;Las Palmas;Spain;Croatia;Forward
Alessandro Bastoni;18;91;0;0;0;0;0;0;720;857;20;70;30;0;40;40;225;2017-2018;Atalanta;Italy;Italy;Defender
Alessandro Buongiorno;18;9;0;0;0;0;0;0;60;857;0;0;0;0;0;10;30;2017-2018;Torino;Italy;Italy;Defender
Alessandro Deiola;21;449;0;0;3;0;0;2;1040;703;20;140;50;0;150;110;85;2017-2018;Cagliari;Italy;Italy;Midfielder
Alessandro Florenzi;26;2387;1;3;2;0;15;7;13650;770;440;1790;840;100;610;430;209;2017-2018;Roma;Italy;Italy;Defender
Alessandro Gamberini;35;1815;0;0;2;0;0;1;6030;849;0;280;10;0;300;1190;96;2017-2018;Chievo;Italy;Italy;Defender
Alessandro Matri;32;914;3;0;1;0;3;10;1430;722;110;130;210;10;60;50;91;2017-2018;Sassuolo;Italy;Italy;Forward
Alessandro Murgia;20;777;0;0;3;1;0;3;3130;819;80;260;160;0;280;110;20;2017-2018;Lazio;Italy;Italy;Midfielder
Alessandro Schöpf;23;808;0;0;3;0;0;3;3140;762;50;220;160;10;380;210;207;2017-2018;Schalke 04;Germany;Austria;Defender
Alessio Cerci;30;1635;3;1;1;0;22;12;3180;653;210;380;480;80;220;40;63;2017-2018;Hellas Verona;Italy;Italy;Forward
Alessio Romagnoli;22;2353;2;0;8;2;8;4;13540;901;40;750;190;20;470;1190;168;2017-2018;Milan;Italy;Italy;Defender
Alex Ferrari;23;2136;1;0;5;0;4;1;7700;741;60;630;170;20;1070;1010;72;2017-2018;Hellas Verona;Italy;Italy;Defender
Alex Iwobi;21;1830;3;5;1;0;39;22;10000;861;370;1160;790;130;370;80;142;2017-2018;Arsenal;England;Nigeria;Forward
Alex Oxlade-Chamberlain;23;241;0;0;0;0;0;2;1230;794;50;160;100;0;570;150;10;2017-2018;Arsenal;England;England;Defender
Alex Oxlade-Chamberlain;23;1493;3;7;3;0;6;15;6020;767;360;1060;700;130;140;60;20;2017-2018;Liverpool;England;England;Midfielder
Alex Pritchard;24;998;1;1;1;0;18;4;2610;666;190;260;360;30;280;60;93;2017-2018;Huddersfield;England;England;Midfielder
Alex Sandro;26;2117;4;3;8;0;3;7;14230;847;280;1250;610;60;790;370;277;2017-2018;Juventus;Italy;Brazil;Defender
Alexander;28;1056;2;2;1;0;34;5;2200;675;130;190;270;30;270;10;131;2017-2018;Leganés;Spain;Argentina;Forward
Alexander Djiku;22;2520;0;0;10;0;0;3;10240;801;30;940;130;0;1250;1120;10;2017-2018;Caen;France;Ghana;Defender
Alexander Esswein;27;617;2;1;0;0;44;6;1630;715;40;170;110;30;260;80;119;2017-2018;Hertha BSC;Germany;Germany;Forward
Alexander Hack;23;1287;1;0;2;0;7;4;4820;788;50;620;60;0;610;1300;113;2017-2018;Mainz 05;Germany;Germany;Defender
Alexander Isak;17;119;0;0;0;0;0;0;210;750;10;20;60;0;10;0;12;2017-2018;Dortmund;Germany;Sweden;Forward
Alexander Kačaniklić;25;316;0;1;0;0;28;1;640;667;10;80;60;10;80;40;89;2017-2018;Nantes;France;Sweden;Midfielder
Alexander Meier;34;4;1;0;0;0;225;1;20;1000;0;0;0;0;0;0;30;2017-2018;Eint Frankfurt;Germany;Germany;Forward
Alexander Søderlund;29;364;0;0;0;1;0;3;510;750;40;80;110;10;20;20;58;2017-2018;Saint-Étienne;France;Norway;Forward
Alexander Sørloth;21;360;0;0;0;0;0;3;630;578;60;60;120;10;110;50;0;2017-2018;Crystal Palace;England;Norway;Forward
Alexandre Lacazette;26;2202;14;4;1;0;74;34;5480;768;330;450;850;110;400;50;178;2017-2018;Arsenal;England;France;Forward
Alexandre Mendy;23;799;4;0;2;0;45;9;1170;727;70;100;130;20;70;40;119;2017-2018;Bordeaux;France;Guinea-Bissau;Forward
Alexandru Maxim;27;957;2;2;4;0;38;5;3410;727;210;420;420;50;180;60;86;2017-2018;Mainz 05;Germany;Romania;Midfielder
Alexis;31;2183;1;0;6;0;4;3;5230;715;30;330;130;10;520;720;132;2017-2018;Alavés;Spain;Spain;Defender
Alexis Blin;20;1886;1;3;5;0;19;4;5790;769;50;580;230;40;720;280;85;2017-2018;Toulouse;France;France;Midfielder
Alexis Sánchez;28;1503;7;3;4;0;6;25;6590;706;480;1460;1110;130;460;10;189;2017-2018;Arsenal;England;Chile;Forward
Alexis Sánchez;28;1043;2;3;1;0;43;6;4570;730;260;760;460;90;280;10;208;2017-2018;Manchester Utd;England;Chile;Forward
Alfie Mawson;23;3420;2;1;3;0;8;5;14090;837;50;840;100;10;980;2680;87;2017-2018;Swansea City;England;England;Defender
Alfonso Pedraza;21;2440;3;5;5;0;3;13;4600;627;280;540;640;110;690;110;124;2017-2018;Alavés;Spain;Spain;Midfielder
Alfred Duncan;24;1947;0;2;4;0;9;10;5610;712;320;1110;560;50;570;250;127;2017-2018;Sassuolo;Italy;Ghana;Midfielder
Alfred N'Diaye;27;102;0;0;0;0;0;0;290;879;0;0;10;0;70;40;0;2017-2018;Villarreal;Spain;Senegal;Defender
Alfreð Finnbogason;28;1814;12;3;2;0;74;22;3100;718;270;340;580;80;260;80;127;2017-2018;Augsburg;Germany;Iceland;Forward
Ali Adnan Kadhim;23;1674;0;1;4;0;5;3;5880;652;210;680;330;50;880;720;117;2017-2018;Udinese;Italy;Iraq;Defender
Alin Toșca;25;1170;0;0;1;0;0;0;6250;868;20;510;70;0;200;500;108;2017-2018;Benevento;Italy;Romania;Defender
Alin Toșca;25;423;0;0;0;0;0;0;1940;826;10;160;20;0;160;140;133;2017-2018;Betis;Spain;Romania;Defender
Allan;26;2850;4;5;2;0;28;12;15580;856;320;1700;970;150;1300;140;239;2017-2018;Napoli;Italy;Brazil;Midfielder
Allan Nyom;29;2310;0;1;7;0;4;0;8150;743;130;500;320;40;1210;780;93;2017-2018;West Brom;England;Cameroon;Defender
Allan Saint-Maximin;20;2253;3;5;1;0;32;16;6680;739;470;710;910;120;0;0;153;2017-2018;Nice;France;France;Forward
Allan Saint-Maximin;20;16;0;0;0;0;0;0;30;600;10;0;20;0;370;30;30;2017-2018;Monaco;France;France;Midfielder
Almamy Touré;21;1248;1;0;3;0;7;1;4460;705;140;680;270;80;630;300;19;2017-2018;Monaco;France;Mali;Defender
Alois Confais;20;612;0;0;1;0;0;1;2170;792;20;230;50;0;100;30;107;2017-2018;Troyes;France;France;Midfielder
Aly Abeid;19;76;0;0;0;0;0;0;290;763;20;20;30;0;40;20;0;2017-2018;Levante;Spain;Mauritania;Defender
Amadou Diawara;20;655;1;0;1;0;14;3;6740;921;60;360;170;30;220;40;278;2017-2018;Napoli;Italy;Guinea;Midfielder
Amath;21;2835;3;0;9;0;1;13;4020;652;220;610;550;40;890;70;149;2017-2018;Getafe;Spain;Senegal;Midfielder
Amato Ciciretti;23;807;2;1;0;0;33;11;2430;704;150;170;340;30;120;40;0;2017-2018;Benevento;Italy;Italy;Midfielder
Ambroise Oyongo;26;201;0;0;0;0;0;1;670;670;20;40;50;0;30;10;167;2017-2018;Montpellier;France;Cameroon;Midfielder
Amine Gouiri;17;83;0;0;0;0;0;2;140;824;10;20;20;0;30;0;20;2017-2018;Lyon;France;France;Forward
Amine Harit;20;2043;3;3;3;0;26;9;6240;811;400;720;890;140;450;40;174;2017-2018;Schalke 04;Germany;Morocco;Midfielder
Amir Abrashi;27;850;0;0;2;0;0;0;2600;776;40;300;120;10;480;190;10;2017-2018;Freiburg;Germany;Albania;Midfielder
Anaitz Arbilla;30;2416;2;1;8;0;11;4;12340;780;100;1430;320;50;790;610;141;2017-2018;Eibar;Spain;Spain;Defender
Anas Ouahim;19;19;0;0;0;0;0;0;70;875;0;0;0;0;10;0;0;2017-2018;Köln;Germany;Germany;Forward
Anastasios Donis;20;949;2;2;1;0;38;13;1460;652;130;100;320;70;260;70;128;2017-2018;Stuttgart;Germany;Greece;Forward
Ander Capa;25;2256;0;1;4;0;4;1;10300;701;180;1200;360;50;720;260;136;2017-2018;Eibar;Spain;Spain;Defender
Ander Herrera;27;1268;0;2;5;0;14;1;9030;864;80;810;220;40;880;170;212;2017-2018;Manchester Utd;England;Spain;Midfielder
Ander Iturraspe;28;1904;0;0;7;0;0;1;9740;798;260;970;440;20;630;420;11;2017-2018;Athletic Club;Spain;Spain;Midfielder
Andoni Gorosabel;20;76;0;0;0;0;0;0;390;830;0;20;0;0;60;0;15;2017-2018;Real Sociedad;Spain;Spain;Defender
Andoni López;21;90;0;0;0;0;0;0;330;767;0;10;0;0;10;10;0;2017-2018;Athletic Club;Spain;Spain;Defender
Andre Gray;26;1498;5;2;1;0;42;13;2240;718;120;130;240;20;80;40;10;2017-2018;Watford;England;Jamaica;Forward
Andre-Frank Zambo Anguissa;21;2440;0;0;5;0;0;6;15460;869;230;1360;680;50;1490;160;208;2017-2018;Marseille;France;Cameroon;Midfielder
Andrea Barberis;23;3029;2;1;1;0;9;8;8070;714;300;770;580;50;1200;560;92;2017-2018;Crotone;Italy;Italy;Midfielder
Andrea Barzagli;36;1447;0;1;2;0;6;0;11640;921;40;640;110;20;340;520;264;2017-2018;Juventus;Italy;Italy;Defender
Andrea Belotti;23;2683;10;5;2;0;5;28;4410;723;280;260;800;150;380;200;15;2017-2018;Torino;Italy;Italy;Forward
Andrea Bertolacci;26;2895;1;0;7;1;3;2;13100;798;260;1850;630;20;1280;280;115;2017-2018;Genoa;Italy;Italy;Midfielder
Andrea Conti;23;157;0;0;0;0;0;0;910;875;20;130;50;10;70;20;30;2017-2018;Milan;Italy;Italy;Defender
Andrea Cossu;37;243;0;1;0;0;37;1;760;608;40;60;80;10;30;20;55;2017-2018;Cagliari;Italy;Italy;Midfielder
Andrea Costa;31;1375;0;0;5;0;0;0;5600;762;30;510;70;0;520;630;44;2017-2018;Benevento;Italy;Italy;Defender
Andrea Danzi;18;393;0;0;1;0;0;0;1730;911;10;40;50;0;150;40;0;2017-2018;Hellas Verona;Italy;Italy;Midfielder
Andrea Masiello;31;2707;4;0;5;0;13;7;16240;844;100;1200;280;40;1090;1540;165;2017-2018;Atalanta;Italy;Italy;Defender
Andrea Nalini;27;1638;0;2;2;0;11;9;3480;633;210;470;360;60;590;170;104;2017-2018;Crotone;Italy;Italy;Forward
Andrea Petagna;22;1618;4;5;6;0;5;16;3850;735;300;380;530;110;130;70;162;2017-2018;Atalanta;Italy;Italy;Forward
Andrea Pinamonti;18;14;0;0;0;0;0;0;40;1000;0;0;0;0;0;0;0;2017-2018;Inter;Italy;Italy;Forward
Andrea Poli;27;2543;2;0;9;2;7;4;11260;885;150;870;410;20;950;180;119;2017-2018;Bologna;Italy;Italy;Midfielder
Andrea Raggi;33;1606;1;0;3;0;6;1;5420;730;20;540;60;0;370;260;21;2017-2018;Monaco;France;Italy;Defender
Andrea Ranocchia;29;627;2;0;4;0;29;3;2850;905;0;120;0;0;160;420;182;2017-2018;Inter;Italy;Italy;Defender
Andreas Beck;30;1927;1;1;5;0;9;3;8200;706;120;910;300;30;590;440;139;2017-2018;Stuttgart;Germany;Germany;Defender
Andreas Christensen;21;2086;0;0;0;0;0;1;12510;948;40;670;140;10;620;1210;167;2017-2018;Chelsea;England;Denmark;Defender
Andreas Cornelius;24;934;3;1;0;0;39;11;2130;701;170;140;330;20;90;80;157;2017-2018;Atalanta;Italy;Denmark;Forward
Andreas Pereira;21;1083;1;3;5;0;33;5;2720;648;200;440;380;50;280;40;174;2017-2018;Valencia;Spain;Brazil;Midfielder
Andrei Girotto;25;1520;1;1;8;0;12;9;5010;752;120;550;290;20;670;350;16;2017-2018;Nantes;France;Brazil;Midfielder
Andrej Kramarić;26;2228;13;6;1;0;77;33;6680;725;510;690;880;120;130;110;162;2017-2018;Hoffenheim;Germany;Croatia;Forward
Andreu Fontàs;27;884;0;1;2;0;1;0;6180;882;20;340;80;10;200;280;158;2017-2018;Celta Vigo;Spain;Spain;Defender
Andrew Gravillon;19;82;0;0;0;0;0;0;200;690;0;10;0;0;60;70;15;2017-2018;Benevento;Italy;France;Defender
Andrew Hjulsager;22;15;0;0;0;0;0;0;40;571;0;10;0;0;0;0;0;2017-2018;Celta Vigo;Spain;Denmark;Defender
Andrew Robertson;23;1940;1;5;2;0;28;2;14080;845;230;1330;450;70;700;680;214;2017-2018;Liverpool;England;Scotland;Defender
Andrew Surman;30;1856;2;5;2;0;34;6;9970;844;190;1110;410;70;440;690;10;2017-2018;Bournemouth;England;England;Midfielder
Andrey Galabinov;28;1129;3;1;2;0;32;14;2430;659;120;220;240;20;170;70;12;2017-2018;Genoa;Italy;Bulgaria;Forward
Andrija Balić;19;1083;0;1;2;0;8;3;4440;800;160;450;330;20;380;110;71;2017-2018;Udinese;Italy;Croatia;Midfielder
Andriy Yarmolenko;27;1039;3;3;0;0;52;11;3310;737;290;320;520;60;200;40;122;2017-2018;Dortmund;Germany;Ukraine;Forward
Andros Townsend;26;3120;2;7;3;0;26;15;8580;709;600;930;1180;110;1120;290;114;2017-2018;Crystal Palace;England;England;Forward
André Ayew;27;895;3;2;2;0;5;5;2140;756;20;150;130;40;240;100;94;2017-2018;West Ham;England;Ghana;Midfielder
André Ayew;27;950;0;2;3;0;19;7;2460;804;120;160;210;40;200;50;75;2017-2018;Swansea City;England;Ghana;Forward
André Carrillo;26;1540;1;2;2;0;18;2;5720;745;170;630;500;20;640;150;114;2017-2018;Watford;England;Peru;Forward
André Gomes;24;640;0;0;1;0;0;0;3110;874;30;210;100;20;200;40;275;2017-2018;Barcelona;Spain;Portugal;Midfielder
André Hahn;26;1358;3;0;0;0;2;16;2070;543;70;190;210;20;290;190;65;2017-2018;Hamburger SV;Germany;Germany;Forward
André Ramalho;25;34;0;0;0;0;0;0;110;786;0;30;0;0;30;40;167;2017-2018;Leverkusen;Germany;Brazil;Defender
André Schürrle;26;1236;1;6;0;0;51;11;3950;719;180;430;390;60;270;80;117;2017-2018;Dortmund;Germany;Germany;Forward
André Silva;21;940;2;1;0;0;29;10;2220;750;190;140;390;0;100;70;15;2017-2018;Milan;Italy;Portugal;Forward
Andrés Guardado;30;2270;2;8;7;0;4;8;12690;828;410;1220;740;140;520;230;169;2017-2018;Betis;Spain;Mexico;Midfielder
Andrés Iniesta;33;1862;1;2;1;0;15;6;13250;864;170;1550;500;90;360;40;237;2017-2018;Barcelona;Spain;Spain;Midfielder
Andy Carroll;28;751;3;0;6;2;36;8;1540;609;60;120;160;10;70;170;119;2017-2018;West Ham;England;England;Forward
Andy Delort;25;2334;5;4;5;0;35;20;4490;570;450;500;720;80;240;180;91;2017-2018;Toulouse;France;Algeria;Forward
Andy King;28;537;1;0;1;0;17;2;1640;759;10;120;40;10;330;130;91;2017-2018;Leicester City;England;Wales;Midfielder
Andy King;28;715;2;1;1;0;38;4;3030;832;40;290;70;0;120;150;82;2017-2018;Swansea City;England;Wales;Midfielder
Angelo Fulgini;20;1528;3;4;4;0;41;9;5230;743;320;620;530;60;350;60;103;2017-2018;Angers;France;France;Midfielder
Angelo Ogbonna;29;2880;1;0;3;0;3;2;8090;808;100;440;190;0;860;2320;106;2017-2018;West Ham;England;Italy;Defender
Ante Budimir;26;1588;6;0;8;0;34;18;2560;655;180;210;400;20;310;280;73;2017-2018;Crotone;Italy;Croatia;Forward
Ante Rebić;23;1751;6;2;8;0;41;23;2640;548;240;480;520;60;380;90;172;2017-2018;Eint Frankfurt;Germany;Croatia;Forward
Anthony Gonçalves;31;1758;0;2;5;0;1;6;5370;662;310;760;570;70;720;220;10;2017-2018;Strasbourg;France;France;Midfielder
Anthony Knockaert;25;2421;3;1;4;1;15;13;8370;772;330;770;680;80;830;130;115;2017-2018;Brighton;England;France;Midfielder
Anthony Lozano;24;477;1;0;0;0;19;7;750;658;40;80;110;20;70;0;143;2017-2018;Girona;Spain;Honduras;Forward
Anthony Martial;21;1582;9;5;1;0;8;15;6170;788;320;590;690;120;240;60;203;2017-2018;Manchester Utd;England;France;Forward
Anthony Ujah;26;205;0;0;0;0;0;2;220;468;40;10;80;0;40;40;91;2017-2018;Mainz 05;Germany;Nigeria;Forward
Anthony Walongwa;23;90;0;0;0;0;0;0;170;654;0;20;0;0;10;20;30;2017-2018;Nantes;France;Democratic Republic of the Congo;Defender
Anto Grgić;20;7;0;0;0;0;0;0;100;1000;0;10;0;0;0;0;30;2017-2018;Stuttgart;Germany;Switzerland;Midfielder
Antoine Griezmann;26;2509;19;9;7;1;10;38;8150;763;430;1040;920;190;440;70;206;2017-2018;Atlético Madrid;Spain;France;Forward
Antonino Ragusa;27;825;0;1;6;0;11;6;1840;689;120;280;310;20;280;50;117;2017-2018;Sassuolo;Italy;Italy;Forward
Antonio Barragán;30;2370;0;7;7;0;27;3;12690;797;220;1320;460;130;610;410;159;2017-2018;Betis;Spain;Spain;Defender
